date,dig_pH,dig_온도,dig_TS,dig_VS,dig_VFA,dig_Alk,dig_CODcr,dig_NH3N,dig_CH4pct,biogas,feed,in_pH,in_TS,in_VS,in_CODcr,str_음폐수,str_가축분뇨,str_음식물,CH4pct,methane,VS_in,COD_in,OLR,S_fast,S_slow,L_fast,L_slow,VFA_ALK
2018-01-01,,37.95,,,,,,,,9373.0,135.0,,,,,183.62,,20.19,,,,,,135.0,135.0,,,
2018-01-02,7.82,37.95,2.8150000000000004,1.33,3399.5,16143.0,25698.0,2817.5,64.0,13277.0,187.0,4.09,7.3,6.54,91843.0,129.71,41.03,15.27,64.0,8497.28,12229.800000000001,17174.641,1.5287250000000001,167.870269059085,141.11016106560103,12229.800000000001,12229.800000000001,0.21058663197670818
2018-01-03,7.855,37.95,2.83,1.335,3338.0,15803.0,,,64.5,13457.0,199.0,4.2,7.91,6.69,,158.23,41.56,16.45,64.5,8679.765,13313.100000000002,,1.6641375000000003,187.54801197763882,147.9123964492718,12914.576201378979,12357.09110543011,0.21122571663608175
2018-01-04,7.82,37.55,2.94,1.3,3389.5,15893.0,,,65.5,12846.0,216.0,4.26,7.22,5.92,,125.76,79.04,17.06,65.5,8414.13,12787.2,,1.5984,205.53309854611717,155.91290076207446,12834.05908578184,12407.630232767988,0.2132699930787139
2018-01-05,,,,,,,,,,11314.0,204.0,,,,,157.38,39.15,18.86,,,,,,204.56399543640634,161.56328386825265,12804.43849429123,12452.230856102993,
2018-01-06,,,,,,,,,,8272.0,150.0,,,,,155.49,40.8,15.0,,,,,,170.0729721492263,160.2045621974394,12793.541687646495,12491.590768049477,
2018-01-07,,,,,,,,,,8490.0,138.0,,,,,,,,,,,,,149.7989870709646,157.59545736248725,12789.532976507477,12526.32576842825,
2018-01-08,7.890000000000001,38.05,2.73,1.08,3337.5,16308.0,23758.0,2790.0,64.3,6077.0,111.0,4.11,7.45,6.27,98722.0,132.54,86.65,23.6,64.3,3907.511,6959.699999999999,10958.142,0.8699624999999999,125.27334968168448,152.1203467969076,9104.375697520416,11872.229998485524,0.204654157468727
2018-01-09,7.885,38.1,2.665,1.16,3358.5,15968.0,,,63.75,10446.0,211.0,4.26,6.88,5.56,,157.48,41.02,15.37,63.75,6659.325,11731.599999999999,,1.4664499999999998,179.46292778739843,159.0388884230158,10765.098191771776,11855.705538073951,0.21032690380761523
2018-01-10,7.85,38.2,2.75,1.25,3287.5,15743.0,,,64.15,8153.0,151.0,4.18,6.73,5.62,,155.3,39.53,14.1,64.15,5230.1495,8486.2,,1.060775,161.47092596853125,158.09429413353462,9324.559793275612,11459.778200591903,0.20882296893857588
2018-01-11,7.84,38.05,2.83,1.365,3378.0,16368.0,,,64.19999999999999,10952.0,205.0,4.17,7.28,6.19,,157.94,,12.51,64.19999999999999,7031.183999999999,12689.5,,1.5861875,188.98654857059293,163.6058598593002,11451.607677174914,11604.2743209816,0.20637829912023462
2018-01-12,,,,,,,,,,11926.0,216.0,,,,,152.95,20.82,15.23,,,,,,206.0623065840378,169.76233361224922,12234.104864048688,11731.791699660998,
2018-01-13,,,,,,,,,,10841.0,167.0,,,,,129.92,42.09,13.92,,,,,,181.37021951700336,169.43775085671524,12521.969491874039,11844.325391371274,
2018-01-14,,,,,,,,,,7403.0,97.0,,,,,,,,,,,,,128.0380692074271,160.9260907612458,12627.868970291453,11943.636025742002,
2018-01-15,7.984999999999999,38.150000000000006,2.72,1.38,3327.0,15923.0,22147.5,2481.5,63.45,6836.0,114.0,3.92,7.71,6.45,111529.0,132.97,61.44,23.55,63.45,4337.442,7353.000000000001,12714.306,0.9191250000000001,119.16431705515431,155.412129747203,9293.515849043402,11404.222073610572,0.20894303837216605
2018-01-16,7.95,38.05,2.605,1.16,3368.0,16068.0,,,63.25,11321.0,203.0,4.0,7.62,6.41,,105.36,40.94,17.42,63.25,7160.5325,13012.3,,1.6265375,172.15857580802395,161.00385190130905,11644.23576470887,11593.17621084667,0.20960916106547176
2018-01-17,7.965,37.95,2.665,1.3250000000000002,3368.5,15828.0,,,63.2,9969.0,172.0,4.09,7.14,5.92,,156.84,22.23,17.19,63.2,6300.408,10182.4,,1.2728,172.05833677963915,162.29593336254376,10720.179324205528,11427.405636312218,0.2128190548395249
2018-01-18,7.845,38.0,2.62,1.185,3337.5,15838.0,,,63.75,5591.0,88.0,4.12,7.16,5.95,,105.0,39.35,15.71,63.75,3564.2625,5236.000000000001,,0.6545000000000001,118.92333396029454,153.56593106707638,7253.516825072708,10699.896296690338,0.21072736456623312
2018-01-19,,,,,,,,,,9213.0,189.0,,,,,133.18,,17.96,,,,,,163.22023525815536,157.72954392072586,5978.202962161731,10057.871557872664,
2018-01-20,,,,,,,,,,9247.0,169.0,,,,,26.5,,15.57,,,,,,166.8737433766678,159.05385741932486,5509.041210955847,9491.286714483384,
2018-01-21,,,,,,,,,,7409.0,120.0,,,,,,,,,,,,,137.24388651902214,154.46490820653463,5336.4462481032115,8991.277345140965,
2018-01-22,7.895,38.25,2.545,1.24,3287.0,15853.0,19190.5,2833.0,63.45,4115.0,75.0,4.15,7.11,5.99,96621.0,104.25,86.44,23.73,63.45,2610.9675,4492.5,7246.575,0.5615625,97.89824618895653,145.127535356436,4802.970474130945,8462.657072504651,0.207342458840598
2018-01-23,7.96,37.95,2.625,1.2349999999999999,3240.5,15658.0,,,63.3,8990.0,186.0,4.17,6.99,5.89,,183.83,58.82,15.85,63.3,5690.67,10955.4,,1.369425,153.58917604176935,149.93017655105638,8692.04766417661,8755.562087545699,0.20695491122748755
2018-01-24,7.86,38.25,2.7,1.245,3257.0,15988.0,,,62.75,8248.0,152.0,4.11,7.52,6.26,,72.3,,13.66,62.75,5175.62,9515.2,,1.1894,152.58462519416915,150.17338721741027,9212.379178698324,8844.82189517325,0.20371528646484863
2018-01-25,8.004999999999999,38.05,2.7199999999999998,1.185,3246.5,15953.0,,,63.650000000000006,5121.0,70.0,4.2,7.46,6.17,,26.3,,10.59,63.650000000000006,3259.5165,4319.0,,0.539875,100.38118576578395,140.75276588907994,6119.173597699511,8313.023804139937,0.20350404312668463
2018-01-26,,,,,,,,,,5005.0,100.0,,,,,26.53,,,,,,,,100.14023040649911,135.96418966886822,4981.246857133281,7843.713636002637,
2018-01-27,,,,,,,,,,9391.0,192.0,,,,,25.16,,,,,,,,158.20667929580543,142.54857094895834,4562.6270037197355,7429.5488662700145,
2018-01-28,,,,,,,,,,8978.0,170.0,,,,,,,,,,,,,165.6614797697853,145.77419889093494,4408.625365982689,7064.049739821313,
2018-01-29,7.885,38.0,2.53,1.28,3185.0,16368.0,21116.5,2702.5,63.95,9498.0,208.0,4.47,6.66,5.57,95718.0,105.31,41.71,22.02,63.95,6073.971,11585.599999999999,19909.344,1.4481999999999997,192.4245288376828,153.085923260405,8945.338582336095,7595.345900511737,0.1945869990224829
2018-01-30,7.93,38.1,2.62,1.2,3175.0,15923.0,,,64.4,9807.0,231.0,4.54,6.2,4.99,,133.62,64.18,13.13,64.4,6315.7080000000005,11526.900000000001,,1.4408625000000002,216.80887722588164,162.24106860956894,10577.196628320047,8057.31568485784,0.1993970985367079
2018-01-31,7.84,37.849999999999994,2.6100000000000003,1.18,3022.5,15603.0,,,64.4,9763.0,240.0,4.56,6.13,5.01,,79.2,41.29,12.97,64.4,6287.372,12024.0,,1.503,231.46846271371902,171.37798389965653,11491.75078414142,8523.413378356148,0.19371274754854836
