sample_id,Acidobacteriaceae,Actinomycetaceae,Aeromonadaceae,Akkermansiaceae,Anaerolineaceae,Anaerovoracaceae,Armatimonadaceae,Atopobiaceae,Atribacteraceae,Bacillaceae,Bacteroidaceae,Bifidobacteriaceae,Caldicoprobacteraceae,Caldisericaceae,Christensenellaceae,Cloacimonadaceae,Clostridiaceae,Coprothermobacteraceae,Corynebacteriaceae,Deferribacteraceae,Desulfobulbaceae,Desulfovibrionaceae,Dysgonomonadaceae,Eggerthellaceae,Elusimicrobiaceae,Eubacteriaceae,Fermentibacteraceae,Fibrobacteraceae,Fusobacteriaceae,Geobacteraceae,Kosmotogaceae,Lachnospiraceae,Lactobacillaceae,Methanobacteriaceae,Methanocorpusculaceae,Methanoculleaceae,Methanomassiliicoccaceae,Methanoregulaceae,Methanosarcinaceae,Methanospirillaceae,Methanothermobacteraceae,Methanotrichaceae,Moraxellaceae,Nitrospiraceae,Oscillospiraceae,Paludibacteraceae,Pelotomaculaceae,Peptostreptococcaceae,Petrotogaceae,Planctomycetaceae,Prevotellaceae,Pseudomonadaceae,Rhodocyclaceae,Rikenellaceae,Ruminococcaceae,Sedimentibacteraceae,Spirochaetaceae,Streptococcaceae,Synergistaceae,Syntrophaceae,Syntrophobacteraceae,Syntrophomonadaceae,Syntrophorhabdaceae,Tannerellaceae,Thermoanaerobacteraceae,Turicibacteraceae,Victivallaceae,f__unclassified_Firmicutes,f__unclassified_root
서울_spring,0.0,0.0,0.0,0.6032,2.7674,0.0,0.0,1.6032,0.0,0.0,0.0,0.2642,0.0,0.0,0.0,0.9596,4.7739,0.0,0.0997,0.0,2.719,1.2198,0.4517,0.5272,1.55,1.2896,0.2274,0.7338,0.0,0.0821,3.1012,0.0,0.0,7.1202,0.0,6.0875,0.0,0.1175,3.1047,2.0303,0.285,4.8034,0.0,0.0,0.09,0.1582,0.0,0.0,0.481,0.0,0.127,0.0,0.0,0.3851,0.0,0.0,0.1338,0.0,2.8003,36.9095,1.5154,1.5416,0.0,0.3005,0.3515,0.0,2.3046,0.0,6.3801
서울_summer,0.0,0.0,0.0,0.0,4.5553,0.0,0.0,0.0,0.3478,0.3678,9.0894,0.7041,0.2017,2.1337,0.0,0.98,3.0257,1.8693,5.8419,0.1661,0.3803,0.8426,1.8535,0.4367,0.0,1.3956,0.0,0.2965,0.2111,0.0,0.5656,0.721,0.0,0.9327,0.0979,2.2204,0.0,2.722,1.1071,0.0,1.4286,0.1899,0.0,0.4536,0.2623,0.0,0.6756,0.0826,0.0,0.0853,1.7906,0.0,0.0839,0.1456,0.9581,0.2391,6.6867,0.3817,32.9029,0.0,0.3149,1.4753,0.0,0.0,1.3507,2.2326,0.0,0.0,5.1943
서울_autumn,0.0,0.8012,0.0,0.1428,2.1925,0.9029,0.0,0.0,0.0,0.0,6.6731,0.0,0.0,1.0016,2.3309,1.1833,1.4634,14.0836,0.0,0.0,0.0,1.8206,5.0657,1.7448,0.0,0.0,0.0,1.5272,0.0,0.0,7.7286,0.0,0.0,3.2775,0.0,0.2795,0.0,0.4032,0.0909,6.8655,0.0,0.6452,0.0,0.0,0.0,0.6192,0.0,1.286,0.533,0.4326,0.0,0.0,0.0,0.0,0.0,0.0,2.4849,2.1027,1.3747,3.253,0.2683,1.5394,0.551,1.9285,0.353,0.0,0.0,1.1445,21.9052
서울_winter,0.0,0.0,0.0,0.0,1.1949,0.0854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0199,6.4934,10.4775,0.0,0.0,0.0,0.1004,0.0,0.0,0.0,1.2968,0.0,0.0,0.0,0.0,0.0,0.8837,0.0,0.0,0.7764,0.0,0.0,0.0,2.1767,3.0408,4.5028,0.0,0.1141,0.0,0.0,4.8303,0.0,0.0,0.0,0.1142,0.7747,12.2575,0.0857,0.4929,0.0,0.0,0.0,0.6673,0.0,29.635,0.0,0.0,0.2124,2.9057,0.0,0.0,0.0,0.0,0.0,15.8616
부산_spring,0.0,0.0,0.0,0.0,1.9589,0.0,0.0,0.1305,0.1982,0.0882,0.0808,0.0865,0.142,0.0,0.0977,13.9586,0.2949,0.0,0.0,0.1364,1.0454,1.7976,2.0446,0.0,0.0,0.1012,0.0,0.0,0.1913,0.0,2.239,0.0,5.9413,6.2398,0.0,0.2817,0.0,0.8146,0.6827,0.7267,0.0942,1.1563,0.0,8.9016,1.1898,5.3327,0.0,18.421,0.0,1.3422,1.6473,1.1747,0.0,0.6005,5.5579,1.2616,1.1407,0.4287,3.0231,0.0,0.0,1.0466,0.1249,0.0,0.4411,0.0,0.1883,0.0914,7.557
부산_summer,0.4102,0.0,0.0,0.0,4.3157,0.0,0.0,0.9323,5.1022,2.1649,0.0,0.0,0.0,0.0,0.3544,0.3598,0.0,0.0,0.0,0.0,0.0,0.5875,2.6265,0.0,0.0,17.0178,0.0,0.1449,0.0,0.0,0.0,0.0,0.1396,0.0,0.0,9.5465,0.2433,0.785,2.4388,0.0,0.0,5.0816,0.0,0.2532,1.6146,0.0,0.0,0.3175,0.3244,0.0,0.0,0.0,0.0,1.8531,0.0,9.5526,0.5324,0.0,0.8208,3.6894,0.0,20.4223,0.0,0.1908,0.1535,0.7405,0.0,0.0,7.2838
부산_autumn,7.3743,0.0,0.0,0.0,2.2382,2.7271,0.1226,0.0,0.0989,0.0,0.0,0.0,0.0,0.0,0.0,0.9156,7.213,3.1823,1.7297,0.0,0.0,0.1085,2.9944,0.1308,0.3539,0.1699,0.9865,1.996,0.0,0.0,0.1842,0.0,12.1696,0.7423,0.7543,1.7315,0.0,1.2468,4.8127,1.5932,1.4645,0.8508,0.0,0.0,0.0,0.1599,0.316,0.0,0.1364,0.3378,0.1791,0.0,0.0,0.0,0.0,0.0,1.248,0.0,5.9528,0.0,3.8553,0.0,1.1073,0.0,11.4253,1.7026,0.0,0.5634,15.1243
부산_winter,0.0,0.1696,0.0,0.0,4.4562,0.0,1.0852,0.0,0.1836,0.0,3.1487,5.2063,0.0,0.3349,1.7093,0.6123,0.1169,0.0,0.1713,0.0,0.1482,0.0,0.2952,0.0,0.0,2.5521,0.0,14.5735,0.1552,0.1799,4.644,0.0886,0.1746,0.1665,0.0,1.0773,0.0,5.5073,4.905,4.4666,0.0,1.99,0.1998,0.0,7.5839,0.0,0.0,0.0,1.1124,0.0,15.4056,0.0,0.7291,0.146,0.0,1.0376,0.1362,0.0,0.1814,1.3552,0.0,4.0205,2.9133,0.0,6.5194,0.0,0.1591,0.0,0.3823
대구_spring,0.1317,0.0,0.0,0.0,7.2131,0.0,4.9163,0.0,1.012,0.0,0.0,0.0,0.0,0.0,2.878,0.0,9.5307,0.0973,0.0,1.923,0.0,0.111,2.4851,0.0,0.0,0.9398,0.0,0.0,1.3309,1.04,0.141,0.0,0.0,0.0,1.5775,2.9113,1.8735,12.2005,6.5449,0.0,0.0,0.1536,0.0,0.0,0.0,0.0,0.8299,9.7404,0.0,8.8144,0.1013,4.8071,0.0,2.7806,0.0,0.9016,0.0,0.0,1.629,0.0,0.0,0.1546,0.0,0.0,4.4402,2.2395,0.0,0.0,4.5503
대구_summer,0.0,0.0,2.4803,0.1952,6.064,11.4866,0.0,0.128,2.5088,2.2569,0.0,0.6786,0.0,0.0823,0.1047,0.2845,16.1595,3.3914,0.0,0.111,0.0,0.2109,4.8057,0.0,0.0,1.8283,0.1978,0.0,0.0,0.114,0.7486,0.398,0.0,2.8362,0.0,1.4263,0.3006,0.0,7.3673,0.0,1.9376,1.0928,0.0,0.0,0.0,0.0,0.0,0.0,1.4481,0.1614,0.1045,0.0,0.0,0.0,1.3121,0.7227,1.7101,0.0,12.3649,0.1257,4.8808,0.0,0.3719,0.0,1.8514,0.1282,0.0,0.0,5.6223
