taxon,domain,phylum,family
Acidobacteriaceae,Bacteria,Acidobacteriota,Acidobacteriaceae
Actinomycetaceae,Bacteria,Actinobacteriota,Actinomycetaceae
Aeromonadaceae,Bacteria,Pseudomonadota,Aeromonadaceae
Akkermansiaceae,Bacteria,Verrucomicrobiota,Akkermansiaceae
Anaerolineaceae,Bacteria,Chloroflexi,Anaerolineaceae
Anaerovoracaceae,Bacteria,Firmicutes,Anaerovoracaceae
Armatimonadaceae,Bacteria,Armatimonadota,Armatimonadaceae
Atopobiaceae,Bacteria,Actinobacteriota,Atopobiaceae
Atribacteraceae,Bacteria,Atribacterota,Atribacteraceae
Bacillaceae,Bacteria,Firmicutes,Bacillaceae
Bacteroidaceae,Bacteria,Bacteroidota,Bacteroidaceae
Bifidobacteriaceae,Bacteria,Actinobacteriota,Bifidobacteriaceae
Caldicoprobacteraceae,Bacteria,Firmicutes,Caldicoprobacteraceae
Caldisericaceae,Bacteria,Caldisericota,Caldisericaceae
Christensenellaceae,Bacteria,Firmicutes,Christensenellaceae
Cloacimonadaceae,Bacteria,Cloacimonadota,Cloacimonadaceae
Clostridiaceae,Bacteria,Firmicutes,Clostridiaceae
Coprothermobacteraceae,Bacteria,Coprothermobacterota,Coprothermobacteraceae
Corynebacteriaceae,Bacteria,Actinobacteriota,Corynebacteriaceae
Deferribacteraceae,Bacteria,Deferribacterota,Deferribacteraceae
Desulfobulbaceae,Bacteria,Pseudomonadota,Desulfobulbaceae
Desulfovibrionaceae,Bacteria,Pseudomonadota,Desulfovibrionaceae
Dysgonomonadaceae,Bacteria,Bacteroidota,Dysgonomonadaceae
Eggerthellaceae,Bacteria,Actinobacteriota,Eggerthellaceae
Elusimicrobiaceae,Bacteria,Elusimicrobiota,Elusimicrobiaceae
Eubacteriaceae,Bacteria,Firmicutes,Eubacteriaceae
Fermentibacteraceae,Bacteria,Fermentibacterota,Fermentibacteraceae
Fibrobacteraceae,Bacteria,Fibrobacterota,Fibrobacteraceae
Fusobacteriaceae,Bacteria,Fusobacteriota,Fusobacteriaceae
Geobacteraceae,Bacteria,Pseudomonadota,Geobacteraceae
Kosmotogaceae,Bacteria,Thermotogota,Kosmotogaceae
Lachnospiraceae,Bacteria,Firmicutes,Lachnospiraceae
Lactobacillaceae,Bacteria,Firmicutes,Lactobacillaceae
Methanobacteriaceae,Archaea,Euryarchaeota,Methanobacteriaceae
Methanocorpusculaceae,Archaea,Euryarchaeota,Methanocorpusculaceae
Methanoculleaceae,Archaea,Euryarchaeota,Methanoculleaceae
Methanomassiliicoccaceae,Archaea,Euryarchaeota,Methanomassiliicoccaceae
Methanoregulaceae,Archaea,Euryarchaeota,Methanoregulaceae
Methanosarcinaceae,Archaea,Euryarchaeota,Methanosarcinaceae
Methanospirillaceae,Archaea,Euryarchaeota,Methanospirillaceae
Methanothermobacteraceae,Archaea,Euryarchaeota,Methanothermobacteraceae
Methanotrichaceae,Archaea,Euryarchaeota,Methanotrichaceae
Moraxellaceae,Bacteria,Pseudomonadota,Moraxellaceae
Nitrospiraceae,Bacteria,Nitrospirota,Nitrospiraceae
Oscillospiraceae,Bacteria,Firmicutes,Oscillospiraceae
Paludibacteraceae,Bacteria,Bacteroidota,Paludibacteraceae
Pelotomaculaceae,Bacteria,Firmicutes,Pelotomaculaceae
Peptostreptococcaceae,Bacteria,Firmicutes,Peptostreptococcaceae
Petrotogaceae,Bacteria,Thermotogota,Petrotogaceae
Planctomycetaceae,Bacteria,Planctomycetota,Planctomycetaceae
Prevotellaceae,Bacteria,Bacteroidota,Prevotellaceae
Pseudomonadaceae,Bacteria,Pseudomonadota,Pseudomonadaceae
Rhodocyclaceae,Bacteria,Pseudomonadota,Rhodocyclaceae
Rikenellaceae,Bacteria,Bacteroidota,Rikenellaceae
Ruminococcaceae,Bacteria,Firmicutes,Ruminococcaceae
Sedimentibacteraceae,Bacteria,Firmicutes,Sedimentibacteraceae
Spirochaetaceae,Bacteria,Spirochaetota,Spirochaetaceae
Streptococcaceae,Bacteria,Firmicutes,Streptococcaceae
Synergistaceae,Bacteria,Synergistota,Synergistaceae
Syntrophaceae,Bacteria,Pseudomonadota,Syntrophaceae
Syntrophobacteraceae,Bacteria,Pseudomonadota,Syntrophobacteraceae
Syntrophomonadaceae,Bacteria,Firmicutes,Syntrophomonadaceae
Syntrophorhabdaceae,Bacteria,Pseudomonadota,Syntrophorhabdaceae
Tannerellaceae,Bacteria,Bacteroidota,Tannerellaceae
Thermoanaerobacteraceae,Bacteria,Firmicutes,Thermoanaerobacteraceae
Turicibacteraceae,Bacteria,Firmicutes,Turicibacteraceae
Victivallaceae,Bacteria,Lentisphaerota,Victivallaceae
f__unclassified_Firmicutes,Bacteria,Firmicutes,f__unclassified_Firmicutes
f__unclassified_root,unclassified,unclassified,f__unclassified_root
