sample_id,Acetobacterium,Acetomicrobium,Acidobacterium,Acinetobacter,Actinomyces,Aeromonas,Akkermansia,Alistipes,Aminobacter,Aminobacterium,Aminomonas,Anaerobaculum,Anaerofilum,Anaerolinea,Anaerovorax,Armatimonas,Bacillus,Bacteroides,Bellilinea,Bifidobacterium,Caldicoprobacter,Caldisericum,Candidatus Caldatribacterium,Candidatus Cloacimonas,Candidatus Fermentibacter,Christensenella,Cloacibacillus,Clostridium,Coprothermobacter,Corynebacterium,Defluviitoga,Denitrovibrio,Desulfobulbus,Desulfovibrio,Dysgonomonas,Elusimicrobium,Fastidiosipila,Fermentimonas,Fibrobacter,Flexilinea,Fusobacterium,Garciella,Gelria,Geobacter,Gordonibacter,Kosmotoga,Lactobacillus,Leptolinea,Levilinea,Longilinea,Macellibacteroides,Mesotoga,Methanobacterium,Methanobrevibacter,Methanocorpusculum,Methanoculleus,Methanolinea,Methanomassiliicoccus,Methanoregula,Methanosaeta,Methanosarcina,Methanospirillum,Methanothermobacter,Olsenella,Ornatilinea,Paludibacter,Pelotomaculum,Petrimonas,Petrotoga,Planctomyces,Prevotella,Proteiniclasticum,Proteiniphilum,Pseudomonas,Romboutsia,Ruminococcus,Sedimentibacter,Smithella,Sphaerochaeta,Spirochaeta,Streptococcus,Synergistes,Syntrophaceticus,Syntrophobacter,Syntrophomonas,Syntrophorhabdus,Tannerella,Tepidanaerobacter,Thauera,Thermoanaerobacter,Thermodesulfovibrio,Thermovirga,Treponema,Turicibacter,Victivallis,g__unclassified_root
서울_spring,1.2896,0.0,0.0,0.0,0.0,0.0,0.6032,0.3851,0.0,0.3742,0.0,0.3169,0.0,0.7296,0.0,0.0,0.0,0.0,0.6327,0.2642,0.0,0.0,0.0,0.9596,0.2274,0.0,0.0,4.7739,0.0,0.0997,0.2691,0.0,2.719,1.2198,0.1687,1.55,0.0,0.1364,0.7338,0.0955,0.0,0.0,0.0,0.0821,0.5272,3.1012,0.0,0.0,0.0,1.1603,0.0,0.0,0.6513,6.4689,0.0,6.0875,0.1175,0.0,0.0,4.8034,3.1047,2.0303,0.285,1.6032,0.1493,0.1582,0.0,0.1466,0.2119,0.0,0.127,0.0,0.0,0.0,0.0,0.09,0.0,36.9095,0.1338,0.0,0.0,1.1743,0.3515,1.5154,1.5416,0.0,0.3005,0.0,0.0,0.0,0.0,0.9349,0.0,0.0,2.3046,6.3801
서울_summer,1.3956,0.842,0.0,0.0,0.0,0.0,0.0,0.1456,0.0,0.0,0.0,0.4985,0.0,1.5034,0.0,0.0,0.3678,9.0894,1.4106,0.7041,0.2017,2.1337,0.3478,0.98,0.0,0.0,0.5647,3.0257,1.8693,5.8419,0.0,0.1661,0.3803,0.8426,0.0,0.0,0.9581,0.0,0.2965,0.1862,0.2111,0.0,0.0,0.0,0.4367,0.5656,0.0,0.0938,0.0,1.3613,0.2943,0.0,0.4172,0.5155,0.0979,2.2204,0.0,0.0,2.722,0.1899,1.1071,0.0,1.4286,0.0,0.0,0.0,0.6756,1.5592,0.0,0.0853,1.7906,0.721,0.0,0.0,0.0826,0.2623,0.2391,0.0,0.0,0.0,0.3817,30.9977,0.1538,0.3149,1.4753,0.0,0.0,0.0,0.0839,1.1969,0.4536,0.0,6.6867,2.2326,0.0,5.1943
서울_autumn,0.0,0.0,0.0,0.0,0.8012,0.0,0.1428,0.0,1.1445,0.0,0.0,0.0,0.0,1.1482,0.9029,0.0,0.0,6.6731,0.4496,0.0,0.0,1.0016,0.0,1.1833,0.0,2.3309,0.1375,1.4634,14.0836,0.0,0.247,0.0,0.0,1.8206,0.3381,0.0,0.0,0.0,1.5272,0.3017,0.0,0.0,0.0,0.0,1.7448,7.7286,0.0,0.17,0.0,0.123,0.0,0.0,0.0946,3.1829,0.0,0.2795,0.1356,0.0,0.2676,0.6452,0.0909,6.8655,0.0,0.0,0.0,0.6192,0.0,0.1513,0.286,0.4326,0.0,0.0,4.5763,0.0,1.286,0.0,0.0,3.253,0.0,0.0,2.1027,0.0,0.0,0.2683,1.5394,0.551,1.9285,0.353,0.0,0.0,0.0,1.2372,2.4849,0.0,0.0,21.9052
서울_winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1183,0.0854,0.0,0.0,0.0,0.9751,0.0,0.0,0.0,0.0,6.4934,0.0,1.0199,0.0,10.4775,0.0,0.0,0.1142,0.0,0.1004,0.0,0.0,1.2968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8837,0.0,0.0,0.0,0.0,0.0,0.0,0.7764,0.0,0.0,0.0,1.4263,0.0,0.7504,0.1141,3.0408,4.5028,0.0,0.0,0.1015,0.0,0.0,0.0,0.0,0.7747,12.2575,0.0,0.0,0.0857,0.0,4.8303,0.0,0.0,0.0,0.6673,0.0,16.7165,0.0,0.0,0.2124,2.9057,0.0,0.0,0.4929,0.0,0.0,12.9185,0.0,0.0,0.0,15.8616
부산_spring,0.1012,2.0444,0.0,0.0,0.0,0.0,0.0,0.6005,0.0914,0.0,0.0,0.0,0.2288,0.994,0.0,0.0,0.0882,0.0808,0.0,0.0865,0.142,0.0,0.1982,13.9586,0.0,0.0977,0.9787,0.2949,0.0,0.0,0.0,0.1364,1.0454,1.7976,0.0,0.0,5.5579,0.1349,0.0,0.0893,0.1913,0.0,0.0,0.0,0.0,2.1105,5.9413,0.0,0.7811,0.0945,1.8022,0.1285,4.183,2.0568,0.0,0.2817,0.6389,0.0,0.1757,1.1563,0.6827,0.7267,0.0942,0.1305,0.0,5.3327,0.0,0.1075,0.0,1.3422,1.6473,0.0,0.0,1.1747,18.421,0.961,1.2616,0.0,1.1407,0.0,0.4287,0.0,0.4411,0.0,1.0466,0.1249,0.0,0.0,0.0,0.0,8.9016,0.0,0.0,0.0,0.1883,7.557
부산_summer,17.0178,0.0,0.4102,0.0,0.0,0.0,0.0,1.8531,0.0,0.0,0.0,0.0,1.6146,0.156,0.0,0.0,2.1649,0.0,0.1437,0.0,0.0,0.0,5.1022,0.3598,0.0,0.3544,0.7325,0.0,0.0,0.0,0.243,0.0,0.0,0.5875,0.0,0.0,0.0,0.0,0.1449,0.4172,0.0,0.0,0.0,0.0,0.0,0.0,0.1396,0.0,3.5988,0.0,0.0,0.0,0.0,0.0,0.0,9.5465,0.785,0.2433,0.0,5.0816,2.4388,0.0,0.0,0.9323,0.0,0.0,0.0,2.6265,0.0814,0.0,0.0,0.0,0.0,0.0,0.3175,0.0,9.5526,3.6894,0.4303,0.0,0.0,0.0,0.0,0.0,20.4223,0.0,0.1908,0.1535,0.0,0.0,0.2532,0.0883,0.1021,0.7405,0.0,7.2838
부산_autumn,0.1699,0.0,7.3743,0.0,0.0,0.0,0.0,0.0,0.5634,3.9794,0.8175,0.8472,0.0,1.5844,2.7271,0.1226,0.0,0.0,0.411,0.0,0.0,0.0,0.0989,0.9156,0.9865,0.0,0.212,7.213,3.1823,1.7297,0.1364,0.0,0.0,0.1085,0.0,0.3539,0.0,0.0,1.996,0.0,0.0,0.0,11.4253,0.0,0.1308,0.0,12.1696,0.1134,0.0,0.1294,0.0,0.1842,0.625,0.1173,0.7543,1.7315,1.2468,0.0,0.0,0.8508,4.8127,1.5932,1.4645,0.0,0.0,0.1599,0.316,1.2543,0.0,0.3378,0.1791,0.0,1.7401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8553,0.0,1.1073,0.0,0.0,0.0,0.0,0.0,0.0967,1.248,1.7026,0.0,15.1243
부산_winter,2.5521,0.0,0.0,0.1998,0.1696,0.0,0.0,0.146,0.0,0.0,0.0,0.0,4.189,0.0,0.0,1.0852,0.0,3.1487,0.0,5.2063,0.0,0.3349,0.1836,0.6123,0.0,1.7093,0.1814,0.1169,0.0,0.1713,1.0001,0.0,0.1482,0.0,0.2952,0.0,0.0,0.0,14.5735,0.0,0.1552,0.0,0.0,0.1799,0.0,4.5006,0.1746,0.0,1.5036,2.9526,0.0,0.1434,0.1665,0.0,0.0,1.0773,1.2001,0.0,4.3072,1.99,4.905,4.4666,0.0,0.0,0.0,0.0,0.0,0.0,0.1123,0.0,15.4056,0.0886,0.0,0.0,0.0,3.3949,1.0376,1.3552,0.1362,0.0,0.0,0.0,6.5194,0.0,4.0205,2.9133,0.0,0.0,0.7291,0.0,0.0,0.0,0.0,0.0,0.1591,0.3823
대구_spring,0.9398,0.0,0.1317,0.0,0.0,0.0,0.0,2.7806,0.0,1.629,0.0,0.0,0.0,3.3925,0.0,4.9163,0.0,0.0,0.0,0.0,0.0,0.0,1.012,0.0,0.0,2.878,0.0,9.5307,0.0973,0.0,0.0,1.923,0.0,0.111,0.3853,0.0,0.0,0.0,0.0,1.8512,1.3309,0.0,0.0,1.04,0.0,0.141,0.0,0.1448,0.0,0.0,0.0,0.0,0.0,0.0,1.5775,2.9113,12.2005,1.8735,0.0,0.1536,6.5449,0.0,0.0,0.0,1.8246,0.0,0.8299,1.5852,0.0,8.8144,0.1013,0.0,0.5146,4.8071,9.7404,0.0,0.9016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1546,0.0,0.0,4.4402,0.0,0.0,0.0,0.0,0.0,2.2395,0.0,4.5503
대구_summer,1.8283,0.0,0.0,0.0,0.0,2.4803,0.1952,0.0,0.0,8.128,0.0,0.0976,0.0,2.7715,11.4866,0.0,2.2569,0.0,0.0,0.6786,0.0,0.0823,2.5088,0.2845,0.1978,0.1047,0.0,15.9719,3.3914,0.0,1.4481,0.111,0.0,0.2109,0.0,0.0,1.3121,0.0,0.0,0.0,0.0,0.1876,0.0,0.114,0.0,0.3462,0.0,0.2864,1.7375,1.2686,0.0,0.4024,0.0,2.8362,0.0,1.4263,0.0,0.3006,0.0,1.0928,7.3673,0.0,1.9376,0.128,0.0,0.0,0.0,4.8057,0.0,0.1614,0.1045,0.398,0.0,0.0,0.0,0.0,0.7227,0.1257,0.0,0.0,0.0,0.102,0.1437,4.8808,0.0,0.3719,0.0,1.7077,0.0,0.0,0.0,4.0373,1.7101,0.1282,0.0,5.6223
