taxon,domain,phylum,family,genus
Acetobacterium,Bacteria,Firmicutes,Eubacteriaceae,Acetobacterium
Acetomicrobium,Bacteria,Firmicutes,Synergistaceae,Acetomicrobium
Acidobacterium,Bacteria,Acidobacteriota,Acidobacteriaceae,Acidobacterium
Acinetobacter,Bacteria,Pseudomonadota,Moraxellaceae,Acinetobacter
Actinomyces,Bacteria,Actinobacteriota,Actinomycetaceae,Actinomyces
Aeromonas,Bacteria,Pseudomonadota,Aeromonadaceae,Aeromonas
Akkermansia,Bacteria,Verrucomicrobiota,Akkermansiaceae,Akkermansia
Alistipes,Bacteria,Bacteroidota,Rikenellaceae,Alistipes
Aminobacter,Bacteria,Firmicutes,f__unclassified_Firmicutes,Aminobacter
Aminobacterium,Bacteria,Synergistota,Synergistaceae,Aminobacterium
Aminomonas,Bacteria,Synergistota,Synergistaceae,Aminomonas
Anaerobaculum,Bacteria,Firmicutes,Synergistaceae,Anaerobaculum
Anaerofilum,Bacteria,Firmicutes,Oscillospiraceae,Anaerofilum
Anaerolinea,Bacteria,Chloroflexi,Anaerolineaceae,Anaerolinea
Anaerovorax,Bacteria,Firmicutes,Anaerovoracaceae,Anaerovorax
Armatimonas,Bacteria,Armatimonadota,Armatimonadaceae,Armatimonas
Bacillus,Bacteria,Firmicutes,Bacillaceae,Bacillus
Bacteroides,Bacteria,Bacteroidota,Bacteroidaceae,Bacteroides
Bellilinea,Bacteria,Chloroflexi,Anaerolineaceae,Bellilinea
Bifidobacterium,Bacteria,Actinobacteriota,Bifidobacteriaceae,Bifidobacterium
Caldicoprobacter,Bacteria,Firmicutes,Caldicoprobacteraceae,Caldicoprobacter
Caldisericum,Bacteria,Caldisericota,Caldisericaceae,Caldisericum
Candidatus Caldatribacterium,Bacteria,Atribacterota,Atribacteraceae,Candidatus Caldatribacterium
Candidatus Cloacimonas,Bacteria,Cloacimonadota,Cloacimonadaceae,Candidatus Cloacimonas
Candidatus Fermentibacter,Bacteria,Fermentibacterota,Fermentibacteraceae,Candidatus Fermentibacter
Christensenella,Bacteria,Firmicutes,Christensenellaceae,Christensenella
Cloacibacillus,Bacteria,Synergistota,Synergistaceae,Cloacibacillus
Clostridium,Bacteria,Firmicutes,Clostridiaceae,Clostridium
Coprothermobacter,Bacteria,Coprothermobacterota,Coprothermobacteraceae,Coprothermobacter
Corynebacterium,Bacteria,Actinobacteriota,Corynebacteriaceae,Corynebacterium
Defluviitoga,Bacteria,Thermotogota,Petrotogaceae,Defluviitoga
Denitrovibrio,Bacteria,Deferribacterota,Deferribacteraceae,Denitrovibrio
Desulfobulbus,Bacteria,Pseudomonadota,Desulfobulbaceae,Desulfobulbus
Desulfovibrio,Bacteria,Pseudomonadota,Desulfovibrionaceae,Desulfovibrio
Dysgonomonas,Bacteria,Bacteroidota,Dysgonomonadaceae,Dysgonomonas
Elusimicrobium,Bacteria,Elusimicrobiota,Elusimicrobiaceae,Elusimicrobium
Fastidiosipila,Bacteria,Firmicutes,Ruminococcaceae,Fastidiosipila
Fermentimonas,Bacteria,Bacteroidota,Dysgonomonadaceae,Fermentimonas
Fibrobacter,Bacteria,Fibrobacterota,Fibrobacteraceae,Fibrobacter
Flexilinea,Bacteria,Chloroflexi,Anaerolineaceae,Flexilinea
Fusobacterium,Bacteria,Fusobacteriota,Fusobacteriaceae,Fusobacterium
Garciella,Bacteria,Firmicutes,Clostridiaceae,Garciella
Gelria,Bacteria,Firmicutes,Thermoanaerobacteraceae,Gelria
Geobacter,Bacteria,Pseudomonadota,Geobacteraceae,Geobacter
Gordonibacter,Bacteria,Actinobacteriota,Eggerthellaceae,Gordonibacter
Kosmotoga,Bacteria,Thermotogota,Kosmotogaceae,Kosmotoga
Lactobacillus,Bacteria,Firmicutes,Lactobacillaceae,Lactobacillus
Leptolinea,Bacteria,Chloroflexi,Anaerolineaceae,Leptolinea
Levilinea,Bacteria,Chloroflexi,Anaerolineaceae,Levilinea
Longilinea,Bacteria,Chloroflexi,Anaerolineaceae,Longilinea
Macellibacteroides,Bacteria,Bacteroidota,Dysgonomonadaceae,Macellibacteroides
Mesotoga,Bacteria,Thermotogota,Kosmotogaceae,Mesotoga
Methanobacterium,Archaea,Euryarchaeota,Methanobacteriaceae,Methanobacterium
Methanobrevibacter,Archaea,Euryarchaeota,Methanobacteriaceae,Methanobrevibacter
Methanocorpusculum,Archaea,Euryarchaeota,Methanocorpusculaceae,Methanocorpusculum
Methanoculleus,Archaea,Euryarchaeota,Methanoculleaceae,Methanoculleus
Methanolinea,Archaea,Euryarchaeota,Methanoregulaceae,Methanolinea
Methanomassiliicoccus,Archaea,Euryarchaeota,Methanomassiliicoccaceae,Methanomassiliicoccus
Methanoregula,Archaea,Euryarchaeota,Methanoregulaceae,Methanoregula
Methanosaeta,Archaea,Euryarchaeota,Methanotrichaceae,Methanosaeta
Methanosarcina,Archaea,Euryarchaeota,Methanosarcinaceae,Methanosarcina
Methanospirillum,Archaea,Euryarchaeota,Methanospirillaceae,Methanospirillum
Methanothermobacter,Archaea,Euryarchaeota,Methanothermobacteraceae,Methanothermobacter
Olsenella,Bacteria,Actinobacteriota,Atopobiaceae,Olsenella
Ornatilinea,Bacteria,Chloroflexi,Anaerolineaceae,Ornatilinea
Paludibacter,Bacteria,Bacteroidota,Paludibacteraceae,Paludibacter
Pelotomaculum,Bacteria,Firmicutes,Pelotomaculaceae,Pelotomaculum
Petrimonas,Bacteria,Bacteroidota,Dysgonomonadaceae,Petrimonas
Petrotoga,Bacteria,Thermotogota,Petrotogaceae,Petrotoga
Planctomyces,Bacteria,Planctomycetota,Planctomycetaceae,Planctomyces
Prevotella,Bacteria,Bacteroidota,Prevotellaceae,Prevotella
Proteiniclasticum,Bacteria,Firmicutes,Lachnospiraceae,Proteiniclasticum
Proteiniphilum,Bacteria,Bacteroidota,Dysgonomonadaceae,Proteiniphilum
Pseudomonas,Bacteria,Pseudomonadota,Pseudomonadaceae,Pseudomonas
Romboutsia,Bacteria,Firmicutes,Peptostreptococcaceae,Romboutsia
Ruminococcus,Bacteria,Firmicutes,Oscillospiraceae,Ruminococcus
Sedimentibacter,Bacteria,Firmicutes,Sedimentibacteraceae,Sedimentibacter
Smithella,Bacteria,Pseudomonadota,Syntrophaceae,Smithella
Sphaerochaeta,Bacteria,Spirochaetota,Spirochaetaceae,Sphaerochaeta
Spirochaeta,Bacteria,Spirochaetota,Spirochaetaceae,Spirochaeta
Streptococcus,Bacteria,Firmicutes,Streptococcaceae,Streptococcus
Synergistes,Bacteria,Synergistota,Synergistaceae,Synergistes
Syntrophaceticus,Bacteria,Firmicutes,Thermoanaerobacteraceae,Syntrophaceticus
Syntrophobacter,Bacteria,Pseudomonadota,Syntrophobacteraceae,Syntrophobacter
Syntrophomonas,Bacteria,Firmicutes,Syntrophomonadaceae,Syntrophomonas
Syntrophorhabdus,Bacteria,Pseudomonadota,Syntrophorhabdaceae,Syntrophorhabdus
Tannerella,Bacteria,Bacteroidota,Tannerellaceae,Tannerella
Tepidanaerobacter,Bacteria,Firmicutes,Thermoanaerobacteraceae,Tepidanaerobacter
Thauera,Bacteria,Pseudomonadota,Rhodocyclaceae,Thauera
Thermoanaerobacter,Bacteria,Firmicutes,Thermoanaerobacteraceae,Thermoanaerobacter
Thermodesulfovibrio,Bacteria,Nitrospirota,Nitrospiraceae,Thermodesulfovibrio
Thermovirga,Bacteria,Synergistota,Synergistaceae,Thermovirga
Treponema,Bacteria,Spirochaetota,Spirochaetaceae,Treponema
Turicibacter,Bacteria,Firmicutes,Turicibacteraceae,Turicibacter
Victivallis,Bacteria,Lentisphaerota,Victivallaceae,Victivallis
g__unclassified_root,unclassified,unclassified,unclassified,g__unclassified_root
