sample_id,Acidobacteriota,Actinobacteriota,Armatimonadota,Atribacterota,Bacteroidota,Caldisericota,Chloroflexi,Cloacimonadota,Coprothermobacterota,Deferribacterota,Elusimicrobiota,Euryarchaeota,Fermentibacterota,Fibrobacterota,Firmicutes,Fusobacteriota,Lentisphaerota,Nitrospirota,Planctomycetota,Pseudomonadota,Spirochaetota,Synergistota,Thermotogota,Verrucomicrobiota,p__unclassified_root
서울_spring,0.0,2.4943,0.0,0.0,1.4225,0.0,2.7674,0.9596,0.0,0.0,1.55,23.5486,0.2274,0.7338,8.3635,0.0,2.3046,0.0,0.0,42.4458,0.1338,2.4834,3.5822,0.6032,6.3801
서울_summer,0.0,6.9827,0.0,0.3478,12.8791,2.1337,4.5553,0.98,1.8693,0.1661,0.0,8.6986,0.0,0.2965,14.7103,0.2111,0.0,0.4536,0.0853,1.6217,6.6867,31.5624,0.5656,0.0,5.1943
서울_autumn,0.0,2.546,0.0,0.0,14.2865,1.0016,2.1925,1.1833,14.0836,0.0,0.0,11.5618,0.0,1.5272,11.1228,0.0,0.0,0.0,0.4326,5.8929,2.4849,1.3747,8.2616,0.1428,21.9052
서울_winter,0.0,0.0,0.0,0.0,12.2575,0.0,1.1949,6.4934,0.0,0.0,1.2968,10.6108,0.0,0.0,16.6255,0.0,0.0,0.0,0.7747,3.5847,0.6673,29.635,0.9979,0.0,15.8616
부산_spring,0.0,0.217,0.0,0.1982,9.7059,0.0,1.9589,13.9586,0.0,0.1364,0.0,9.996,0.0,0.0,37.1478,0.1913,0.1883,8.9016,1.3422,4.1426,1.1407,0.9787,2.239,0.0,7.557
부산_summer,0.4102,0.9323,0.0,5.1022,4.6704,0.0,4.3157,0.3598,0.0,0.0,0.0,18.0952,0.0,0.1449,52.4777,0.0,0.0,0.2532,0.0,4.2769,0.5324,0.8208,0.3244,0.0,7.2838
부산_autumn,7.3743,1.8605,0.1226,0.0989,3.3334,0.0,2.2382,0.9156,3.1823,0.0,0.3539,13.1961,0.9865,1.996,37.1341,0.0,0.0,0.0,0.3378,5.0711,1.248,5.1056,0.3206,0.0,15.1243
부산_winter,0.0,5.5472,1.0852,0.1836,18.9955,0.3349,4.4562,0.6123,0.0,0.0,0.0,18.1127,0.0,14.5735,23.8029,0.1552,0.1591,0.0,0.0,5.5255,0.1362,0.1814,5.7564,0.0,0.3823
대구_spring,0.1317,0.0,4.9163,1.012,5.367,0.0,7.2131,0.0,0.0973,1.923,0.0,25.2613,0.0,0.0,31.6547,1.3309,0.0,0.0,8.8144,5.9581,0.0,1.629,0.141,0.0,4.5503
대구_summer,0.0,0.8066,0.0,2.5088,4.9102,0.0823,6.064,0.2845,3.3914,0.111,0.0,14.9608,0.1978,0.0,36.346,0.0,0.0,0.0,0.1614,8.1836,1.7101,12.2673,2.1967,0.1952,5.6223
대구_autumn,0.359,1.9922,0.0,0.0,6.7387,0.0,15.1478,0.2938,1.2375,0.0,0.0,29.8137,0.0,0.0,22.2668,0.1872,0.0,0.0,0.0,5.3483,0.7347,0.0,2.6369,0.0,13.2432
대구_winter,0.0,1.2771,0.0,0.0,3.9336,0.0,5.6986,0.1586,0.0,0.0,0.0,57.0914,0.0,0.0,16.3647,0.0,0.0,0.0,0.0,2.7442,0.0,0.9905,0.1455,0.0,11.5958
인천_spring,0.0,0.121,0.0,0.0,2.3064,0.1067,0.2066,0.0,0.0,0.0,0.0,31.964,0.0,0.0,0.8093,0.0,0.0,0.0,0.0,62.1427,0.0,0.0,0.4223,0.0,1.921
인천_summer,0.0,0.0,0.0,0.0,6.8338,0.0,2.9578,1.9754,0.4601,0.0,0.745,42.0773,0.0,0.0,24.1184,0.0,1.0683,0.0,0.0,6.2514,1.6686,0.5239,0.0,0.2429,11.0771
인천_autumn,0.0,2.0213,0.0,0.0,3.1172,0.0,3.6287,0.5602,0.0,0.0,6.2117,7.991,1.1238,0.0,43.2222,0.0,0.0,1.6693,0.0,6.8458,0.5151,1.6595,2.1569,0.0,19.277
인천_winter,0.0,2.2731,0.0,0.0,14.8288,0.0,2.395,1.1711,0.0,0.0,0.0,16.6166,0.1176,0.0,35.9394,0.0,0.0,0.0,1.3364,9.1494,1.1792,3.9486,0.0,0.0,11.0445
광주_spring,0.0,0.7592,0.0,0.0,22.4229,0.0,2.2643,3.0244,0.0,0.1399,0.0,24.4339,2.9183,0.0,14.5619,0.0,0.2434,0.0,0.0,1.9977,7.7491,7.0407,0.8638,0.0,11.5806
광주_summer,0.8242,0.0,0.0,0.0,2.6253,0.0,3.3463,1.0267,0.0,0.0,0.0,39.9497,0.462,0.6181,30.9964,0.0,0.0,0.0,0.2037,8.8941,0.0,3.8559,6.1786,0.0,1.0187
광주_autumn,0.0,0.2096,0.0,0.1049,16.7503,0.0,1.7744,0.0,0.0,0.0,0.0,6.6833,0.0,0.0,14.1947,0.0,0.0,0.0,0.2017,48.8469,0.2109,0.0,2.1669,0.0,8.8562
광주_winter,0.0,2.6519,0.0,2.3665,15.2412,0.0,10.8482,0.2997,0.0,0.0,0.0,14.4769,0.0,0.0,16.6064,0.0,0.1075,0.1886,0.0,13.5949,1.1577,0.1381,0.0,0.0,22.3221
대전_spring,0.0,0.6348,0.0,0.0,3.4693,0.0,11.4832,4.668,0.0926,0.4106,0.0,8.5291,0.4109,0.0,27.9199,0.0,0.0,0.0,0.0,21.9586,0.0,1.4974,0.0,0.0,18.9256
대전_summer,0.0,0.3745,0.0,9.9086,3.2105,0.0,10.1155,0.0,0.0,0.0,0.0,22.8763,0.0,0.0,27.7494,0.0,0.0,0.0,0.0,8.6551,0.4768,0.5639,2.3496,0.0,13.7197
대전_autumn,0.0,0.0944,0.8789,0.0867,24.5662,0.0,5.6438,3.9336,0.5748,0.0,0.0,10.7071,0.0,5.4638,15.0172,0.0,0.0,0.0,5.1062,17.3165,2.87,1.8547,0.0,0.9433,4.9428
