taxon,domain,phylum
Acidobacteriota,Bacteria,Acidobacteriota
Actinobacteriota,Bacteria,Actinobacteriota
Armatimonadota,Bacteria,Armatimonadota
Atribacterota,Bacteria,Atribacterota
Bacteroidota,Bacteria,Bacteroidota
Caldisericota,Bacteria,Caldisericota
Chloroflexi,Bacteria,Chloroflexi
Cloacimonadota,Bacteria,Cloacimonadota
Coprothermobacterota,Bacteria,Coprothermobacterota
Deferribacterota,Bacteria,Deferribacterota
Elusimicrobiota,Bacteria,Elusimicrobiota
Euryarchaeota,Archaea,Euryarchaeota
Fermentibacterota,Bacteria,Fermentibacterota
Fibrobacterota,Bacteria,Fibrobacterota
Firmicutes,Bacteria,Firmicutes
Fusobacteriota,Bacteria,Fusobacteriota
Lentisphaerota,Bacteria,Lentisphaerota
Nitrospirota,Bacteria,Nitrospirota
Planctomycetota,Bacteria,Planctomycetota
Pseudomonadota,Bacteria,Pseudomonadota
Spirochaetota,Bacteria,Spirochaetota
Synergistota,Bacteria,Synergistota
Thermotogota,Bacteria,Thermotogota
Verrucomicrobiota,Bacteria,Verrucomicrobiota
p__unclassified_root,unclassified,p__unclassified_root
