sample_id,Methanosaeta concilii,Methanosarcina barkeri,Methanosarcina mazei,Methanoculleus bourgensis,Methanoculleus marisnigri,Methanobacterium formicicum,Methanobrevibacter smithii,Methanospirillum hungatei,Methanolinea tarda,Methanomassiliicoccus luminyensis,Methanoregula boonei,Methanocorpusculum labreanum,Methanothermobacter thermautotrophicus,Clostridium butyricum,Clostridium thermocellum,Syntrophomonas wolfei,Syntrophomonas zehnderi,Ruminococcus albus,Christensenella minuta,Caldicoprobacter oshimai,Sedimentibacter hydroxybenzoicus,Acetobacterium woodii,Syntrophaceticus schinkii,Tepidanaerobacter acetatoxydans,Gelria glutamica,Pelotomaculum thermopropionicum,Lactobacillus acidophilus,Streptococcus bovis,Bacillus subtilis,Turicibacter sanguinis,Romboutsia ilealis,Anaerovorax odorimutans,Proteiniclasticum ruminis,Fastidiosipila sanguinis,Garciella nitratireducens,Acetomicrobium mobile,Anaerobaculum mobile,Aminobacter aminovorans,Thermoanaerobacter siderophilus,Anaerofilum agile,Bacteroides graminisolvens,Prevotella ruminicola,Proteiniphilum acetatigenes,Petrimonas sulfuriphila,Macellibacteroides fermentans,Paludibacter propionicigenes,Alistipes finegoldii,Dysgonomonas mossii,Fermentimonas caenicola,Tannerella forsythia,Anaerolinea thermophila,Longilinea arvoryzae,Levilinea saccharolytica,Bellilinea caldifistulae,Leptolinea tardivitalis,Flexilinea flocculi,Ornatilinea apprima,Syntrophobacter fumaroxidans,Smithella propionica,Syntrophorhabdus aromaticivorans,Pseudomonas putida,Desulfovibrio vulgaris,Desulfobulbus propionicus,Geobacter sulfurreducens,Thauera aromatica,Aeromonas hydrophila,Acinetobacter johnsonii,Synergistes jonesii,Aminobacterium colombiense,Cloacibacillus evryensis,Thermovirga lienii,Aminomonas paucivorans,Defluviitoga tunisiensis,Kosmotoga olearia,Petrotoga mobilis,Mesotoga prima,Treponema primitia,Sphaerochaeta globosa,Spirochaeta caldaria,Actinomyces bovis,Corynebacterium glutamicum,Bifidobacterium longum,Gordonibacter pamelaeae,Olsenella uli,Ca. Cloacimonas acidaminovorans,Ca. Cloacimonas W5,Ca. Caldatribacterium californiense,Fusobacterium nucleatum,Fibrobacter succinogenes,Akkermansia muciniphila,Planctomyces limnophilus,Elusimicrobium minutum,Victivallis vadensis,Caldisericum exile,Thermodesulfovibrio yellowstonii,Coprothermobacter proteolyticus,Denitrovibrio acetiphilus,Armatimonas rosea,Acidobacterium capsulatum,Ca. Fermentibacter daniensis,unidentified
서울_spring,4.8034,2.9197,0.185,5.0811,1.0064,0.6513,6.4689,2.0303,0.1175,0.0,0.0,0.0,0.285,0.1089,4.665,1.1208,0.4208,0.09,0.0,0.0,0.0,1.2896,0.3515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3169,0.0,0.0,0.0,0.0,0.127,0.0,0.1466,0.0,0.1582,0.3851,0.1687,0.1364,0.3005,0.7296,1.1603,0.0,0.6327,0.0,0.0955,0.1493,1.5154,36.9095,0.0,0.0,1.2198,2.719,0.0821,0.0,0.0,0.0,1.1743,0.3742,0.0,0.9349,0.0,0.2691,3.1012,0.2119,0.0,0.0,0.1338,0.0,0.0,0.0997,0.2642,0.5272,1.6032,0.9596,0.0,0.0,0.0,0.7338,0.6032,0.0,1.55,2.3046,0.0,0.0,0.0,0.0,0.0,0.0,0.2274,6.3801
서울_summer,0.1899,0.1452,0.9619,0.0,2.2204,0.4172,0.5155,0.0,0.0,0.0,2.722,0.0979,1.4286,1.0241,2.0016,0.1353,1.34,0.2623,0.0,0.2017,0.2391,1.3956,0.1538,0.0,0.0,0.6756,0.0,0.3817,0.3678,2.2326,0.0826,0.0,0.721,0.9581,0.0,0.842,0.4985,0.0,1.1969,0.0,9.0894,1.7906,0.0,1.5592,0.2943,0.0,0.1456,0.0,0.0,0.0,1.5034,1.3613,0.0,1.4106,0.0938,0.1862,0.0,0.3149,0.0,0.0,0.0,0.8426,0.3803,0.0,0.0839,0.0,0.0,30.9977,0.0,0.5647,0.0,0.0,0.0,0.5656,0.0,0.0,6.6867,0.0,0.0,0.0,5.8419,0.7041,0.4367,0.0,0.7864,0.1936,0.3478,0.2111,0.2965,0.0,0.0853,0.0,0.0,2.1337,0.4536,1.8693,0.1661,0.0,0.0,0.0,5.1943
서울_autumn,0.6452,0.0,0.0909,0.0,0.2795,0.0946,3.1829,6.8655,0.1356,0.0,0.2676,0.0,0.0,0.4185,1.0449,1.1636,0.3758,0.0,2.3309,0.0,0.0,0.0,0.0,0.353,0.0,0.0,0.0,2.1027,0.0,0.0,1.286,0.9029,0.0,0.0,0.0,0.0,0.0,1.1445,0.0,0.0,6.6731,0.0,4.5763,0.1513,0.0,0.6192,0.0,0.3381,0.0,1.9285,1.1482,0.123,0.0,0.4496,0.17,0.3017,0.0,0.2683,3.253,0.551,0.0,1.8206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1375,1.2372,0.0,0.247,7.7286,0.286,0.0,2.4849,0.0,0.0,0.8012,0.0,0.0,1.7448,0.0,0.12,1.0633,0.0,0.0,1.5272,0.1428,0.4326,0.0,0.0,1.0016,0.0,14.0836,0.0,0.0,0.0,0.0,21.9052
서울_winter,0.1141,0.1826,2.8582,0.0,0.0,0.7764,0.0,4.5028,1.4263,0.0,0.7504,0.0,0.0,9.7413,0.7362,0.2124,0.0,4.8303,1.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1183,0.0,0.0,0.9751,0.0,0.0,0.1015,0.0,0.0,2.9057,0.0857,0.0,0.1004,0.0,0.4929,0.0,0.0,16.7165,0.0,0.0,12.9185,0.0,0.1142,0.8837,0.0,0.0,0.0,0.0,0.6673,0.0,0.0,0.0,0.0,0.0,6.4934,0.0,0.0,0.0,0.0,0.0,0.7747,1.2968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8616
부산_spring,1.1563,0.0,0.6827,0.0,0.2817,4.183,2.0568,0.7267,0.6389,0.0,0.1757,0.0,0.0942,0.1764,0.1185,0.9526,0.094,0.961,0.0977,0.142,1.2616,0.1012,0.4411,0.0,0.0,0.0,5.9413,0.4287,0.0882,0.0,18.421,0.0,0.0,5.5579,0.0,2.0444,0.0,0.0914,0.0,0.2288,0.0808,1.6473,0.0,0.1075,1.8022,5.3327,0.6005,0.0,0.1349,0.0,0.994,0.0945,0.7811,0.0,0.0,0.0893,0.0,0.0,0.0,0.1249,1.1747,1.7976,1.0454,0.0,0.0,0.0,0.0,0.0,0.0,0.9787,0.0,0.0,0.0,2.1105,0.0,0.1285,0.0,1.1407,0.0,0.0,0.0,0.0865,0.0,0.1305,2.0087,11.9499,0.1982,0.1913,0.0,0.0,1.3422,0.0,0.1883,0.0,8.9016,0.0,0.1364,0.0,0.0,0.0,7.557
부산_summer,5.0816,1.4241,1.0147,8.3084,1.2381,0.0,0.0,0.0,0.785,0.2433,0.0,0.0,0.0,0.0,0.0,15.5252,4.8971,0.0,0.3544,0.0,9.5526,17.0178,0.0,0.1535,0.0,0.0,0.1396,0.0,2.1649,0.7405,0.3175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6146,0.0,0.0,0.0,2.6265,0.0,0.0,1.8531,0.0,0.0,0.1908,0.156,0.0,3.5988,0.1437,0.0,0.4172,0.0,0.0,3.6894,0.0,0.0,0.5875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7325,0.0883,0.0,0.243,0.0,0.0814,0.0,0.1021,0.4303,0.0,0.0,0.0,0.0,0.0,0.9323,0.3598,0.0,5.1022,0.0,0.1449,0.0,0.0,0.0,0.0,0.0,0.2532,0.0,0.0,0.0,0.4102,0.0,7.2838
부산_autumn,0.8508,0.0,4.8127,0.0,1.7315,0.625,0.1173,1.5932,1.2468,0.0,0.0,0.7543,1.4645,6.9304,0.2826,0.0,0.0,0.0,0.0,0.0,0.0,0.1699,0.0,0.0,11.4253,0.316,12.1696,0.0,0.0,1.7026,0.0,2.7271,0.0,0.0,0.0,0.0,0.8472,0.5634,0.0,0.0,0.0,0.1791,1.7401,1.2543,0.0,0.1599,0.0,0.0,0.0,0.0,1.5844,0.1294,0.0,0.411,0.1134,0.0,0.0,3.8553,0.0,1.1073,0.0,0.1085,0.0,0.0,0.0,0.0,0.0,0.0,3.9794,0.212,0.0967,0.8175,0.1364,0.0,0.0,0.1842,1.248,0.0,0.0,0.0,1.7297,0.0,0.1308,0.0,0.9156,0.0,0.0989,0.0,1.996,0.0,0.3378,0.3539,0.0,0.0,0.0,3.1823,0.0,0.1226,7.3743,0.9865,15.1243
부산_winter,1.99,4.5169,0.3881,1.0773,0.0,0.1665,0.0,4.4666,1.2001,0.0,4.3072,0.0,0.0,0.1169,0.0,2.3751,1.6454,3.3949,1.7093,0.0,1.0376,2.5521,6.5194,0.0,0.0,0.0,0.1746,0.0,0.0,0.0,0.0,0.0,0.0886,0.0,0.0,0.0,0.0,0.0,0.0,4.189,3.1487,15.4056,0.0,0.0,0.0,0.0,0.146,0.2952,0.0,0.0,0.0,2.9526,1.5036,0.0,0.0,0.0,0.0,0.0,1.3552,2.9133,0.0,0.0,0.1482,0.1799,0.7291,0.0,0.1998,0.0,0.0,0.1814,0.0,0.0,1.0001,4.5006,0.1123,0.1434,0.0,0.1362,0.0,0.1696,0.1713,5.2063,0.0,0.0,0.3029,0.3094,0.1836,0.1552,14.5735,0.0,0.0,0.0,0.1591,0.3349,0.0,0.0,0.0,1.0852,0.0,0.0,0.3823
대구_spring,0.1536,0.2951,6.2498,2.113,0.7983,0.0,0.0,0.0,12.2005,1.8735,0.0,1.5775,0.0,8.4331,1.0976,0.1546,0.0,0.0,2.878,0.0,0.9016,0.9398,0.0,4.4402,0.0,0.8299,0.0,0.0,0.0,2.2395,9.7404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1013,0.5146,1.5852,0.0,0.0,2.7806,0.3853,0.0,0.0,3.3925,0.0,0.0,0.0,0.1448,1.8512,1.8246,0.0,0.0,0.0,4.8071,0.111,0.0,1.04,0.0,0.0,0.0,0.0,1.629,0.0,0.0,0.0,0.0,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012,1.3309,0.0,0.0,8.8144,0.0,0.0,0.0,0.0,0.0973,1.923,4.9163,0.1317,0.0,4.5503
대구_summer,1.0928,0.2723,7.095,0.4103,1.016,0.0,2.8362,0.0,0.0,0.3006,0.0,0.0,1.9376,15.0662,0.9057,0.0,0.0,0.0,0.1047,0.0,0.7227,1.8283,0.1437,1.7077,0.0,0.0,0.0,0.0,2.2569,0.1282,0.0,11.4866,0.398,1.3121,0.1876,0.0,0.0976,0.0,0.0,0.0,0.0,0.1045,0.0,4.8057,0.0,0.0,0.0,0.0,0.0,0.0,2.7715,1.2686,1.7375,0.0,0.2864,0.0,0.0,4.8808,0.1257,0.3719,0.0,0.2109,0.0,0.114,0.0,2.4803,0.0,0.102,8.128,0.0,4.0373,0.0,1.4481,0.3462,0.0,0.4024,1.7101,0.0,0.0,0.0,0.0,0.6786,0.0,0.128,0.0,0.2845,2.5088,0.0,0.0,0.1952,0.1614,0.0,0.0,0.0823,0.0,3.3914,0.111,0.0,0.0,0.1978,5.6223
