sample_id,site,season,season_ko,methane
서울_spring,서울,spring,봄,5486.9115
서울_summer,서울,summer,여름,7458.858
서울_autumn,서울,autumn,가을,6408.16
서울_winter,서울,winter,겨울,6798.644
부산_spring,부산,spring,봄,5486.9115
부산_summer,부산,summer,여름,7458.858
부산_autumn,부산,autumn,가을,6408.16
부산_winter,부산,winter,겨울,6798.644
대구_spring,대구,spring,봄,5486.9115
대구_summer,대구,summer,여름,7458.858
대구_autumn,대구,autumn,가을,6408.16
대구_winter,대구,winter,겨울,6798.644
인천_spring,인천,spring,봄,5486.9115
인천_summer,인천,summer,여름,7458.858
인천_autumn,인천,autumn,가을,6408.16
인천_winter,인천,winter,겨울,6798.644
광주_spring,광주,spring,봄,5486.9115
광주_summer,광주,summer,여름,7458.858
광주_autumn,광주,autumn,가을,6408.16
광주_winter,광주,winter,겨울,6798.644
대전_spring,대전,spring,봄,5486.9115
대전_summer,대전,summer,여름,7458.858
대전_autumn,대전,autumn,가을,6408.16
대전_winter,대전,winter,겨울,6798.644
울산_spring,울산,spring,봄,5486.9115
울산_summer,울산,summer,여름,7458.858
울산_autumn,울산,autumn,가을,6408.16
울산_winter,울산,winter,겨울,6798.644
수원_spring,수원,spring,봄,5486.9115
수원_summer,수원,summer,여름,7458.858
수원_autumn,수원,autumn,가을,6408.16
수원_winter,수원,winter,겨울,6798.644
창원_spring,창원,spring,봄,5486.9115
창원_summer,창원,summer,여름,7458.858
창원_autumn,창원,autumn,가을,6408.16
창원_winter,창원,winter,겨울,6798.644
청주_spring,청주,spring,봄,5486.9115
청주_summer,청주,summer,여름,7458.858
청주_autumn,청주,autumn,가을,6408.16
청주_winter,청주,winter,겨울,6798.644
