sample_id,Methanosaeta concilii,Methanosarcina barkeri,Methanosarcina mazei,Methanoculleus bourgensis,Methanoculleus marisnigri,Methanobacterium formicicum,Methanobrevibacter smithii,Methanospirillum hungatei,Methanolinea tarda,Methanomassiliicoccus luminyensis,Methanoregula boonei,Methanocorpusculum labreanum,Methanothermobacter thermautotrophicus,Clostridium butyricum,Clostridium thermocellum,Syntrophomonas wolfei,Syntrophomonas zehnderi,Ruminococcus albus,Christensenella minuta,Caldicoprobacter oshimai,Sedimentibacter hydroxybenzoicus,Acetobacterium woodii,Syntrophaceticus schinkii,Tepidanaerobacter acetatoxydans,Gelria glutamica,Pelotomaculum thermopropionicum,Lactobacillus acidophilus,Streptococcus bovis,Bacillus subtilis,Turicibacter sanguinis,Romboutsia ilealis,Anaerovorax odorimutans,Proteiniclasticum ruminis,Fastidiosipila sanguinis,Garciella nitratireducens,Acetomicrobium mobile,Anaerobaculum mobile,Aminobacter aminovorans,Thermoanaerobacter siderophilus,Anaerofilum agile,Bacteroides graminisolvens,Prevotella ruminicola,Proteiniphilum acetatigenes,Petrimonas sulfuriphila,Macellibacteroides fermentans,Paludibacter propionicigenes,Alistipes finegoldii,Dysgonomonas mossii,Fermentimonas caenicola,Tannerella forsythia,Anaerolinea thermophila,Longilinea arvoryzae,Levilinea saccharolytica,Bellilinea caldifistulae,Leptolinea tardivitalis,Flexilinea flocculi,Ornatilinea apprima,Syntrophobacter fumaroxidans,Smithella propionica,Syntrophorhabdus aromaticivorans,Pseudomonas putida,Desulfovibrio vulgaris,Desulfobulbus propionicus,Geobacter sulfurreducens,Thauera aromatica,Aeromonas hydrophila,Acinetobacter johnsonii,Synergistes jonesii,Aminobacterium colombiense,Cloacibacillus evryensis,Thermovirga lienii,Aminomonas paucivorans,Defluviitoga tunisiensis,Kosmotoga olearia,Petrotoga mobilis,Mesotoga prima,Treponema primitia,Sphaerochaeta globosa,Spirochaeta caldaria,Actinomyces bovis,Corynebacterium glutamicum,Bifidobacterium longum,Gordonibacter pamelaeae,Olsenella uli,Ca. Cloacimonas acidaminovorans,Ca. Cloacimonas W5,Ca. Caldatribacterium californiense,Fusobacterium nucleatum,Fibrobacter succinogenes,Akkermansia muciniphila,Planctomyces limnophilus,Elusimicrobium minutum,Victivallis vadensis,Caldisericum exile,Thermodesulfovibrio yellowstonii,Coprothermobacter proteolyticus,Denitrovibrio acetiphilus,Armatimonas rosea,Acidobacterium capsulatum,Ca. Fermentibacter daniensis,unidentified
서울_spring,2.8254,0.9959,0.3029,1.6878,1.4034,0.7514,6.418,1.9443,0.1426,0.0,0.0,0.0,0.9257,1.0314,4.2397,0.4073,0.6527,0.2924,0.0923,0.0,0.0,3.1909,1.6093,0.0,0.0,0.0,0.0825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5202,0.0,0.0,0.0,0.0,0.1503,0.0,0.237,0.0,0.2464,0.8175,0.1554,0.185,0.3349,0.6652,2.2827,0.0,1.1553,0.0,0.1791,0.1719,2.1378,8.9719,0.0,0.0,4.2822,4.3502,0.2158,0.0,0.0,0.0,2.5437,0.4877,0.0,1.4482,0.0861,0.5851,7.1964,1.2514,0.0,0.0,0.2064,0.0,0.0,0.2273,0.3116,0.8301,2.4762,1.4104,0.0,0.0872,0.0,1.059,2.1645,0.1031,3.904,5.1301,0.1295,0.0,0.0,0.0,0.0,0.0,0.5519,11.7555
서울_summer,1.1774,1.3406,0.6243,0.1585,2.1852,0.6863,0.6128,0.0,0.0,0.0,2.2424,0.1836,0.7857,0.095,2.4407,1.5964,0.7187,0.2154,0.0,0.0904,0.2388,0.7259,0.0,0.0,0.0,0.9021,0.0,0.4365,0.1851,1.8609,0.1408,0.0,0.5015,0.9932,0.0,1.0352,0.4037,0.0,1.9683,0.0,8.3335,2.8799,0.0,1.5372,0.5568,0.0,0.1694,0.0,0.0,0.0,2.729,1.2654,0.0,0.9172,0.0,0.1681,0.0,0.2186,0.6637,0.0,0.0,0.7066,0.3902,0.0,0.0,0.0,0.0,26.8271,0.0,0.6036,0.0,0.0,0.0,0.5144,0.0,0.0,5.4501,0.0,0.0,0.0,5.1319,0.5839,0.32,0.0,0.5876,0.1932,0.3607,0.2238,0.2655,0.0,0.1245,0.0,0.0,2.2876,0.2748,1.6204,0.2294,0.0,0.0,0.0,9.3206
서울_autumn,0.8579,0.0,0.0835,0.0,0.0833,0.1076,2.6811,9.715,0.1522,0.0,0.1376,0.0,0.0,0.2771,1.3645,1.3822,0.2358,0.0,1.7913,0.0,0.0,0.0,0.0,0.1482,0.0,0.0,0.0,3.7048,0.0,0.0,0.4855,0.9867,0.0,0.0,0.0,0.0,0.0,0.9775,0.0,0.0,5.1497,0.0,1.8268,0.1106,0.0,0.4553,0.0,0.455,0.0,0.9849,0.3693,0.0893,0.0,0.3261,0.1138,0.4158,0.0,0.2119,4.3703,0.2449,0.0,2.4047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4592,0.8924,0.0,0.3205,8.9846,0.1779,0.0,1.2395,0.0,0.0,1.8906,0.0,0.0,1.2995,0.0,0.1185,1.4306,0.0,0.0,0.4439,0.0,0.2185,0.0,0.0,0.6972,0.0,23.5532,0.0,0.0,0.0,0.0,15.5736
서울_winter,1.0202,1.9196,2.4979,0.2849,0.0,0.4159,0.0,2.0231,1.0156,0.0,1.2341,0.0,0.0,0.6379,0.4703,3.9589,0.0,1.7143,0.9805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1767,0.0,0.0,1.0898,0.0,0.0,0.104,0.0,0.0,5.1761,0.1707,0.0,0.1428,0.0,0.9884,0.0,0.0,6.2808,0.0833,0.0,9.6894,0.0,0.0,0.9268,0.0,0.0,0.0,0.0,1.8669,0.0,0.0,0.0,0.0,0.0,4.9466,0.0,0.0,0.0,0.0,0.0,1.8858,3.0397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9389
부산_spring,1.6787,0.0,1.1335,0.0,0.205,3.2036,1.189,0.4279,0.5137,0.0,0.2053,0.0,0.1431,0.2327,0.0,0.7972,0.0985,1.3635,0.1286,0.2432,0.9813,0.1817,1.1043,0.0,0.0,0.0,6.3761,0.5728,0.2201,0.0,8.1713,0.0,0.0,5.4101,0.0,2.03,0.0,0.0,0.0,0.2826,0.0954,1.9591,0.0937,0.0947,1.8194,5.4787,0.8203,0.0,0.1739,0.0,0.6719,0.1283,0.9353,0.0,0.0,0.1016,0.0,0.0,0.0,0.3559,1.1247,3.0794,1.0813,0.0,0.0,0.0,0.0,0.0,0.0,1.1683,0.0,0.0,0.0,3.3172,0.0,0.3548,0.0,1.0862,0.0,0.0,0.0,0.0958,0.0,0.0977,3.4315,11.4275,0.2476,0.1696,0.0,0.0,1.2696,0.0,0.3371,0.0,15.9611,0.0,0.1522,0.0,0.0,0.0,5.9766
부산_summer,0.2093,0.1681,1.2327,0.3863,2.0566,0.0,0.0,0.0,1.9943,0.3383,0.0,0.0,0.0,0.1826,0.0,1.1979,7.127,0.0,0.4951,0.0,16.0853,13.3528,0.0,0.1518,0.0,0.0,0.2974,0.0,1.4922,1.0349,1.3664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6647,0.0,0.1058,0.0,6.553,0.1519,0.0,2.5374,0.0,0.0,0.2886,0.4087,0.0,4.6639,0.2029,0.0,0.6308,0.0,0.0,0.209,0.0,0.0,0.8388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1316,0.1255,0.0,0.2308,0.0,0.1054,0.0,0.103,1.25,0.0,0.0994,0.0,0.0,0.0,2.0645,0.443,0.0,8.8492,0.0,0.2716,0.0,0.0,0.0,0.0,0.0,0.2679,0.0,0.0,0.0,0.9421,0.0,14.6915
부산_autumn,4.2096,0.1737,6.3262,0.0,0.9889,0.8984,0.1172,3.6324,1.7115,0.0,0.0,2.0829,3.8044,2.1069,0.6093,0.0,0.0,0.0,0.0,0.0,0.1004,0.1169,0.0,0.0,5.4529,0.2376,14.8155,0.0,0.0,1.6621,0.0,2.2309,0.0,0.0,0.0,0.0,0.5149,0.4187,0.0,0.0,0.0,0.1651,0.8062,1.15,0.0,0.1525,0.0,0.0,0.0,0.0,0.6759,0.1339,0.0,0.4022,0.0842,0.1196,0.0,4.4714,0.1497,0.7435,0.0,0.1986,0.0,0.0,0.0,0.0,0.0,0.1842,1.165,1.2409,0.0,1.0715,0.1971,0.0,0.0,0.124,1.247,0.0,0.0,0.0,2.8861,0.0,0.1237,0.0,1.2324,0.0,0.1248,0.0,0.9201,0.0,0.1981,0.1737,0.0,0.0,0.0,6.4142,0.0,0.1317,7.2329,1.0355,12.8331
부산_winter,0.7482,4.0225,0.3362,0.4615,0.0,0.127,0.0,2.719,0.554,0.0,10.3529,0.0,0.0,0.1418,0.0,1.9899,2.4369,1.1269,2.1229,0.0,0.9441,2.695,4.1782,0.0,0.0,0.0,0.1709,0.0,0.0,0.0,0.0,0.0,0.1544,0.0,0.0,0.0,0.0,0.0,0.0,3.7625,3.2976,15.0714,0.0,0.0,0.0,0.0,0.266,0.1111,0.0,0.0,0.0,2.746,0.7918,0.0,0.0,0.0,0.0,0.0,0.7341,3.2581,0.0,0.0,0.1274,0.2395,0.7166,0.0,0.1173,0.0,0.1502,0.0,0.0,0.0,1.0192,3.1298,0.105,0.1805,0.0,0.0,0.0,0.0,0.1267,2.7796,0.0,0.0,0.2945,0.2294,0.1047,0.4342,22.9446,0.0,0.0,0.0,0.2466,0.3009,0.0,0.0,0.0,1.0293,0.0,0.0986,0.3046
대구_spring,2.0021,2.2888,8.4295,16.6157,0.392,0.0,0.0,0.0,8.5604,2.7708,0.0,0.5439,0.0,1.6423,0.7643,0.7491,0.0,0.0,2.7412,0.0,1.044,2.3712,0.0,4.9945,0.0,0.721,0.0,0.0,0.0,2.2969,4.7097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0877,1.2657,1.8293,0.0,0.0,2.6082,0.2505,0.0,0.0,1.5739,0.0,0.0,0.0,0.1894,1.8682,1.6448,0.0,0.0,0.0,3.4526,0.1404,0.0,1.5458,0.0854,0.0,0.0,0.0,0.9761,0.0,0.0,0.0,0.0,0.1619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9161,1.2704,0.0,0.0,6.9404,0.0,0.0,0.0,0.0,0.0,1.5301,4.8463,0.1891,0.0,2.9902
대구_summer,6.3627,2.3978,4.9057,1.9537,1.3174,0.0,5.5131,0.0,0.108,0.1423,0.0,0.0,1.3549,1.663,1.3497,0.0,0.0,0.0,0.1405,0.0,0.7602,1.0591,0.0,1.0092,0.0,0.0,0.0,0.0,1.1873,0.0969,0.0,8.6906,0.3737,3.3913,0.4,0.0,0.0936,0.0,0.0,0.0,0.0829,0.12,0.0,6.4713,0.0,0.0,0.0,0.0,0.0,0.0,5.5486,1.0315,1.5123,0.0,0.1404,0.0,0.0,3.4168,1.46,0.1842,0.0,0.093,0.0,0.0,0.0,2.9613,0.0,0.0814,10.4581,0.0,2.1191,0.0,0.9345,0.229,0.0,0.1991,0.8903,0.0,0.0,0.0,0.0,0.6931,0.0,0.1574,0.0,0.3957,3.467,0.0,0.0,0.1663,0.1965,0.0,0.0,0.0,0.0,5.1993,0.1265,0.0,0.0,0.1347,7.2588
