taxon,domain,phylum,family,genus,species
Methanosaeta concilii,Archaea,Euryarchaeota,Methanotrichaceae,Methanosaeta,Methanosaeta concilii
Methanosarcina barkeri,Archaea,Euryarchaeota,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri
Methanosarcina mazei,Archaea,Euryarchaeota,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei
Methanoculleus bourgensis,Archaea,Euryarchaeota,Methanoculleaceae,Methanoculleus,Methanoculleus bourgensis
Methanoculleus marisnigri,Archaea,Euryarchaeota,Methanoculleaceae,Methanoculleus,Methanoculleus marisnigri
Methanobacterium formicicum,Archaea,Euryarchaeota,Methanobacteriaceae,Methanobacterium,Methanobacterium formicicum
Methanobrevibacter smithii,Archaea,Euryarchaeota,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter smithii
Methanospirillum hungatei,Archaea,Euryarchaeota,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei
Methanolinea tarda,Archaea,Euryarchaeota,Methanoregulaceae,Methanolinea,Methanolinea tarda
Methanomassiliicoccus luminyensis,Archaea,Euryarchaeota,Methanomassiliicoccaceae,Methanomassiliicoccus,Methanomassiliicoccus luminyensis
Methanoregula boonei,Archaea,Euryarchaeota,Methanoregulaceae,Methanoregula,Methanoregula boonei
Methanocorpusculum labreanum,Archaea,Euryarchaeota,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum
Methanothermobacter thermautotrophicus,Archaea,Euryarchaeota,Methanothermobacteraceae,Methanothermobacter,Methanothermobacter thermautotrophicus
Clostridium butyricum,Bacteria,Firmicutes,Clostridiaceae,Clostridium,Clostridium butyricum
Clostridium thermocellum,Bacteria,Firmicutes,Clostridiaceae,Clostridium,Clostridium thermocellum
Syntrophomonas wolfei,Bacteria,Firmicutes,Syntrophomonadaceae,Syntrophomonas,Syntrophomonas wolfei
Syntrophomonas zehnderi,Bacteria,Firmicutes,Syntrophomonadaceae,Syntrophomonas,Syntrophomonas zehnderi
Ruminococcus albus,Bacteria,Firmicutes,Oscillospiraceae,Ruminococcus,Ruminococcus albus
Christensenella minuta,Bacteria,Firmicutes,Christensenellaceae,Christensenella,Christensenella minuta
Caldicoprobacter oshimai,Bacteria,Firmicutes,Caldicoprobacteraceae,Caldicoprobacter,Caldicoprobacter oshimai
Sedimentibacter hydroxybenzoicus,Bacteria,Firmicutes,Sedimentibacteraceae,Sedimentibacter,Sedimentibacter hydroxybenzoicus
Acetobacterium woodii,Bacteria,Firmicutes,Eubacteriaceae,Acetobacterium,Acetobacterium woodii
Syntrophaceticus schinkii,Bacteria,Firmicutes,Thermoanaerobacteraceae,Syntrophaceticus,Syntrophaceticus schinkii
Tepidanaerobacter acetatoxydans,Bacteria,Firmicutes,Thermoanaerobacteraceae,Tepidanaerobacter,Tepidanaerobacter acetatoxydans
Gelria glutamica,Bacteria,Firmicutes,Thermoanaerobacteraceae,Gelria,Gelria glutamica
Pelotomaculum thermopropionicum,Bacteria,Firmicutes,Pelotomaculaceae,Pelotomaculum,Pelotomaculum thermopropionicum
Lactobacillus acidophilus,Bacteria,Firmicutes,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus
Streptococcus bovis,Bacteria,Firmicutes,Streptococcaceae,Streptococcus,Streptococcus bovis
Bacillus subtilis,Bacteria,Firmicutes,Bacillaceae,Bacillus,Bacillus subtilis
Turicibacter sanguinis,Bacteria,Firmicutes,Turicibacteraceae,Turicibacter,Turicibacter sanguinis
Romboutsia ilealis,Bacteria,Firmicutes,Peptostreptococcaceae,Romboutsia,Romboutsia ilealis
Anaerovorax odorimutans,Bacteria,Firmicutes,Anaerovoracaceae,Anaerovorax,Anaerovorax odorimutans
Proteiniclasticum ruminis,Bacteria,Firmicutes,Lachnospiraceae,Proteiniclasticum,Proteiniclasticum ruminis
Fastidiosipila sanguinis,Bacteria,Firmicutes,Ruminococcaceae,Fastidiosipila,Fastidiosipila sanguinis
Garciella nitratireducens,Bacteria,Firmicutes,Clostridiaceae,Garciella,Garciella nitratireducens
Acetomicrobium mobile,Bacteria,Firmicutes,Synergistaceae,Acetomicrobium,Acetomicrobium mobile
Anaerobaculum mobile,Bacteria,Firmicutes,Synergistaceae,Anaerobaculum,Anaerobaculum mobile
Aminobacter aminovorans,Bacteria,Firmicutes,f__unclassified_Firmicutes,Aminobacter,Aminobacter aminovorans
Thermoanaerobacter siderophilus,Bacteria,Firmicutes,Thermoanaerobacteraceae,Thermoanaerobacter,Thermoanaerobacter siderophilus
Anaerofilum agile,Bacteria,Firmicutes,Oscillospiraceae,Anaerofilum,Anaerofilum agile
Bacteroides graminisolvens,Bacteria,Bacteroidota,Bacteroidaceae,Bacteroides,Bacteroides graminisolvens
Prevotella ruminicola,Bacteria,Bacteroidota,Prevotellaceae,Prevotella,Prevotella ruminicola
Proteiniphilum acetatigenes,Bacteria,Bacteroidota,Dysgonomonadaceae,Proteiniphilum,Proteiniphilum acetatigenes
Petrimonas sulfuriphila,Bacteria,Bacteroidota,Dysgonomonadaceae,Petrimonas,Petrimonas sulfuriphila
Macellibacteroides fermentans,Bacteria,Bacteroidota,Dysgonomonadaceae,Macellibacteroides,Macellibacteroides fermentans
Paludibacter propionicigenes,Bacteria,Bacteroidota,Paludibacteraceae,Paludibacter,Paludibacter propionicigenes
Alistipes finegoldii,Bacteria,Bacteroidota,Rikenellaceae,Alistipes,Alistipes finegoldii
Dysgonomonas mossii,Bacteria,Bacteroidota,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas mossii
Fermentimonas caenicola,Bacteria,Bacteroidota,Dysgonomonadaceae,Fermentimonas,Fermentimonas caenicola
Tannerella forsythia,Bacteria,Bacteroidota,Tannerellaceae,Tannerella,Tannerella forsythia
Anaerolinea thermophila,Bacteria,Chloroflexi,Anaerolineaceae,Anaerolinea,Anaerolinea thermophila
Longilinea arvoryzae,Bacteria,Chloroflexi,Anaerolineaceae,Longilinea,Longilinea arvoryzae
Levilinea saccharolytica,Bacteria,Chloroflexi,Anaerolineaceae,Levilinea,Levilinea saccharolytica
Bellilinea caldifistulae,Bacteria,Chloroflexi,Anaerolineaceae,Bellilinea,Bellilinea caldifistulae
Leptolinea tardivitalis,Bacteria,Chloroflexi,Anaerolineaceae,Leptolinea,Leptolinea tardivitalis
Flexilinea flocculi,Bacteria,Chloroflexi,Anaerolineaceae,Flexilinea,Flexilinea flocculi
Ornatilinea apprima,Bacteria,Chloroflexi,Anaerolineaceae,Ornatilinea,Ornatilinea apprima
Syntrophobacter fumaroxidans,Bacteria,Pseudomonadota,Syntrophobacteraceae,Syntrophobacter,Syntrophobacter fumaroxidans
Smithella propionica,Bacteria,Pseudomonadota,Syntrophaceae,Smithella,Smithella propionica
Syntrophorhabdus aromaticivorans,Bacteria,Pseudomonadota,Syntrophorhabdaceae,Syntrophorhabdus,Syntrophorhabdus aromaticivorans
Pseudomonas putida,Bacteria,Pseudomonadota,Pseudomonadaceae,Pseudomonas,Pseudomonas putida
Desulfovibrio vulgaris,Bacteria,Pseudomonadota,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio vulgaris
Desulfobulbus propionicus,Bacteria,Pseudomonadota,Desulfobulbaceae,Desulfobulbus,Desulfobulbus propionicus
Geobacter sulfurreducens,Bacteria,Pseudomonadota,Geobacteraceae,Geobacter,Geobacter sulfurreducens
Thauera aromatica,Bacteria,Pseudomonadota,Rhodocyclaceae,Thauera,Thauera aromatica
Aeromonas hydrophila,Bacteria,Pseudomonadota,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
Acinetobacter johnsonii,Bacteria,Pseudomonadota,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii
Synergistes jonesii,Bacteria,Synergistota,Synergistaceae,Synergistes,Synergistes jonesii
Aminobacterium colombiense,Bacteria,Synergistota,Synergistaceae,Aminobacterium,Aminobacterium colombiense
Cloacibacillus evryensis,Bacteria,Synergistota,Synergistaceae,Cloacibacillus,Cloacibacillus evryensis
Thermovirga lienii,Bacteria,Synergistota,Synergistaceae,Thermovirga,Thermovirga lienii
Aminomonas paucivorans,Bacteria,Synergistota,Synergistaceae,Aminomonas,Aminomonas paucivorans
Defluviitoga tunisiensis,Bacteria,Thermotogota,Petrotogaceae,Defluviitoga,Defluviitoga tunisiensis
Kosmotoga olearia,Bacteria,Thermotogota,Kosmotogaceae,Kosmotoga,Kosmotoga olearia
Petrotoga mobilis,Bacteria,Thermotogota,Petrotogaceae,Petrotoga,Petrotoga mobilis
Mesotoga prima,Bacteria,Thermotogota,Kosmotogaceae,Mesotoga,Mesotoga prima
Treponema primitia,Bacteria,Spirochaetota,Spirochaetaceae,Treponema,Treponema primitia
Sphaerochaeta globosa,Bacteria,Spirochaetota,Spirochaetaceae,Sphaerochaeta,Sphaerochaeta globosa
Spirochaeta caldaria,Bacteria,Spirochaetota,Spirochaetaceae,Spirochaeta,Spirochaeta caldaria
Actinomyces bovis,Bacteria,Actinobacteriota,Actinomycetaceae,Actinomyces,Actinomyces bovis
Corynebacterium glutamicum,Bacteria,Actinobacteriota,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum
Bifidobacterium longum,Bacteria,Actinobacteriota,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum
Gordonibacter pamelaeae,Bacteria,Actinobacteriota,Eggerthellaceae,Gordonibacter,Gordonibacter pamelaeae
Olsenella uli,Bacteria,Actinobacteriota,Atopobiaceae,Olsenella,Olsenella uli
Ca. Cloacimonas acidaminovorans,Bacteria,Cloacimonadota,Cloacimonadaceae,Candidatus Cloacimonas,Ca. Cloacimonas acidaminovorans
Ca. Cloacimonas W5,Bacteria,Cloacimonadota,Cloacimonadaceae,Candidatus Cloacimonas,Ca. Cloacimonas W5
Ca. Caldatribacterium californiense,Bacteria,Atribacterota,Atribacteraceae,Candidatus Caldatribacterium,Ca. Caldatribacterium californiense
Fusobacterium nucleatum,Bacteria,Fusobacteriota,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum
Fibrobacter succinogenes,Bacteria,Fibrobacterota,Fibrobacteraceae,Fibrobacter,Fibrobacter succinogenes
Akkermansia muciniphila,Bacteria,Verrucomicrobiota,Akkermansiaceae,Akkermansia,Akkermansia muciniphila
Planctomyces limnophilus,Bacteria,Planctomycetota,Planctomycetaceae,Planctomyces,Planctomyces limnophilus
Elusimicrobium minutum,Bacteria,Elusimicrobiota,Elusimicrobiaceae,Elusimicrobium,Elusimicrobium minutum
Victivallis vadensis,Bacteria,Lentisphaerota,Victivallaceae,Victivallis,Victivallis vadensis
Caldisericum exile,Bacteria,Caldisericota,Caldisericaceae,Caldisericum,Caldisericum exile
Thermodesulfovibrio yellowstonii,Bacteria,Nitrospirota,Nitrospiraceae,Thermodesulfovibrio,Thermodesulfovibrio yellowstonii
Coprothermobacter proteolyticus,Bacteria,Coprothermobacterota,Coprothermobacteraceae,Coprothermobacter,Coprothermobacter proteolyticus
Denitrovibrio acetiphilus,Bacteria,Deferribacterota,Deferribacteraceae,Denitrovibrio,Denitrovibrio acetiphilus
Armatimonas rosea,Bacteria,Armatimonadota,Armatimonadaceae,Armatimonas,Armatimonas rosea
Acidobacterium capsulatum,Bacteria,Acidobacteriota,Acidobacteriaceae,Acidobacterium,Acidobacterium capsulatum
Ca. Fermentibacter daniensis,Bacteria,Fermentibacterota,Fermentibacteraceae,Candidatus Fermentibacter,Ca. Fermentibacter daniensis
unidentified,unclassified,unclassified,unclassified,unclassified,unidentified
