date,year,month,dow,intake_total_tpd,intake_foodww_tpd,intake_manure_tpd,intake_food_tpd,leach_pH,leach_TS_pct,leach_VS_pct,acid_pH,acid_TS_pct,acid_VS_pct,acid_CODcr_mgL,acid_TN_mgL,acid_NH3N_mgL,feed_A_tpd,feed_B_tpd,dig_T_A_C,dig_T_B_C,dig_pH_A,dig_pH_B,VFA_A_mgL,ALK_A_mgL,VFA_B_mgL,ALK_B_mgL,NH3N_A_mgL,NH3N_B_mgL,dig_TS_A_pct,dig_VS_A_pct,dig_TS_B_pct,dig_VS_B_pct,dig_CODcr_A_mgL,dig_CODcr_B_mgL,dig_TN_A_mgL,biogas_A_m3d,biogas_B_m3d,biogas_AB_raw_m3d,CH4_A_pct,CH4_B_pct,gasconc_CH4_pct,gasconc_CO2_pct,dewater_tpd,flag_TA_sensor_fault,flag_TB_sensor_fault,flag_ALKB_corrupted,flag_feed_frozen,flag_regime_2018,feed_AB_tpd,biogas_AB_m3d,CH4_pct,CH4_m3d,VFA_ALK_A,VFA_ALK_B,VS_load_tpd,HRT_d,OLR_kgVS_m3d,gas_per_VS_m3tVS,FAN_A_mgL,FAN_B_mgL
2018-01-01,2018,1,0,203.81,183.62,0.0,20.19,,,,,,,,,,67.0,68.0,38.0,37.9,,,,,,,,,,,,,,,,4662.0,4711.0,9373.0,,,,,327.0,0,0,0,0,1,135.0,9373.0,,,,,,59.259259,,,,
2018-01-02,2018,1,1,186.01,129.71,41.03,15.27,6.71,2.52,1.63,4.09,7.3,6.54,91843.0,,,93.0,94.0,37.9,38.0,7.84,7.8,3359.0,16068.0,3440.0,16218.0,2814.0,2821.0,2.93,1.39,2.7,1.27,25587.0,25809.0,4053.0,6447.0,6830.0,13277.0,64.3,63.7,,,317.0,0,0,0,0,1,187.0,13277.0,64.0,8497.28,0.209049,0.21211,12.2298,42.780749,1.528725,1085.626911,241.902635,224.188948
2018-01-03,2018,1,2,216.24,158.23,41.56,16.45,6.71,2.64,1.68,4.2,7.91,6.69,,,,100.0,99.0,38.0,37.9,7.88,7.83,3277.0,15778.0,3399.0,15828.0,,,2.84,1.29,2.82,1.38,,,,6653.0,6804.0,13457.0,65.1,63.9,,,430.0,0,0,0,0,1,199.0,13457.0,64.5,8679.765,0.207694,0.214746,13.3131,40.201005,1.664138,1010.808903,,
2018-01-04,2018,1,3,221.86,125.76,79.04,17.06,7.21,2.44,1.28,4.26,7.22,5.92,,,,108.0,108.0,37.6,37.5,7.84,7.8,3359.0,15868.0,3420.0,15918.0,,,2.94,1.3,2.94,1.3,,,,6479.0,6367.0,12846.0,65.6,65.4,,,492.0,0,0,0,0,1,216.0,12846.0,65.5,8414.13,0.211684,0.214851,12.7872,37.037037,1.5984,1004.598348,,
2018-01-05,2018,1,4,215.39,157.38,39.15,18.86,,,,,,,,,,102.0,102.0,,,,,,,,,,,,,,,,,,5825.0,5489.0,11314.0,,,,,334.0,0,0,0,0,1,204.0,11314.0,,,,,,39.215686,,,,
2018-01-06,2018,1,5,211.29,155.49,40.8,15.0,,,,,,,,,,75.0,75.0,,,,,,,,,,,,,,,,,,4178.0,4094.0,8272.0,,,,,360.0,0,0,0,0,1,150.0,8272.0,,,,,,53.333333,,,,
2018-01-07,2018,1,6,0.0,,,,,,,,,,,,,69.0,69.0,,,,,,,,,,,,,,,,,,4328.0,4162.0,8490.0,,,,,197.0,0,0,0,0,1,138.0,8490.0,,,,,,57.971014,,,,
2018-01-08,2018,1,0,242.79,132.54,86.65,23.6,7.16,2.79,1.84,4.11,7.45,6.27,98722.0,,,56.0,55.0,38.0,38.1,7.9,7.88,3318.0,16248.0,3357.0,16368.0,2837.0,2743.0,2.85,1.3,2.61,1.08,19281.0,23758.0,3956.0,2991.0,3086.0,6077.0,64.1,64.5,,,334.0,0,0,0,0,1,111.0,6077.0,64.3,3907.511,0.20421,0.205095,6.9597,72.072072,0.869962,873.169821,278.115118,259.45645
2018-01-09,2018,1,1,213.87,157.48,41.02,15.37,6.94,2.93,2.04,4.26,6.88,5.56,,,,105.0,106.0,38.0,38.2,7.89,7.88,3379.0,16028.0,3338.0,15908.0,,,2.75,1.29,2.58,1.16,,,,5252.0,5194.0,10446.0,63.9,63.6,,,387.0,0,0,0,0,1,211.0,10446.0,63.75,6659.325,0.210819,0.209832,11.7316,37.914692,1.46645,890.41563,,
2018-01-10,2018,1,2,208.93,155.3,39.53,14.1,6.57,1.76,1.28,4.18,6.73,5.62,,,,76.0,75.0,38.2,38.2,7.85,7.85,3298.0,15708.0,3277.0,15778.0,,,2.76,1.2,2.74,1.3,,,,4047.0,4106.0,8153.0,64.1,64.2,,,200.0,0,0,0,0,1,151.0,8153.0,64.15,5230.1495,0.209957,0.207694,8.4862,52.980132,1.060775,960.736254,,
