date,pH,온도,VFA_ALK,FAN,TAN,알칼리도,VFA,OLR,HRT,온도변화,CH4함량,수율,예측이탈,종합,관측지표수,소화조_pH,소화조_온도,yield
2018-01-01,,0.0,,,,,,,0.0,,,,,0.0,2,,37.95,
2018-01-02,0.0,0.0,0.21058663197670818,232.89389970938433,,,,1.528725,0.0,0.0,0.0,1.0,2.0,2.0,9,7.82,37.95,0.6948012232415903
2018-01-03,0.0,0.0,0.21122571663608175,,,,,1.6641375,0.0,0.0,0.0,1.0,0.0,1.0,9,7.855,37.95,0.651971742118665
2018-01-04,0.0,0.0,0.2132699930787139,,,,,1.5984,0.0,0.0,0.0,1.0,0.0,1.0,9,7.82,37.55,0.6580119181681681
2018-01-05,,,,,,,,,0.0,,,,,0.0,1,,,
2018-01-06,,,,,,,,,0.0,,,,,0.0,1,,,
2018-01-07,,,,,,,,,0.0,,,,,0.0,1,,,
2018-01-08,0.0,0.0,0.204654157468727,268.6666524173682,,,,0.8699624999999999,0.0,,0.0,2.0,2.0,2.0,8,7.890000000000001,38.05,0.5614481946060894
2018-01-09,0.0,0.0,0.21032690380761523,,,,,1.46645,0.0,0.0,0.0,2.0,0.0,2.0,9,7.885,38.1,0.5676399638582972
2018-01-10,0.0,0.0,0.20882296893857588,,,,,1.060775,0.0,0.0,0.0,1.0,0.0,1.0,9,7.85,38.2,0.6163123070396644
2018-01-11,0.0,0.0,0.20637829912023462,,,,,1.5861875,0.0,0.0,0.0,2.0,0.0,2.0,9,7.84,38.05,0.554094645179085
2018-01-12,,,,,,,,,0.0,,,,,0.0,1,,,
2018-01-13,,,,,,,,,0.0,,,,,0.0,1,,,
2018-01-14,,,,,,,,,0.0,,,,,0.0,1,,,
2018-01-15,0.0,0.0,0.20894303837216605,292.2157294246968,,,,0.9191250000000001,0.0,,0.0,2.0,0.0,2.0,8,7.984999999999999,38.15000000000001,0.5898873929008567
2018-01-16,0.0,0.0,0.20960916106547176,,,,,1.6265375,0.0,0.0,0.0,2.0,1.0,2.0,9,7.95,38.05,0.5502895337488377
2018-01-17,0.0,0.0,0.2128190548395249,,,,,1.2728,0.0,0.0,0.0,1.0,0.0,1.0,9,7.965,37.95,0.618754714016342
2018-01-18,0.0,0.0,0.21072736456623312,,,,,0.6545,0.0,0.0,0.0,1.0,1.0,1.0,9,7.845,38.0,0.6807224025974026
2018-01-19,,,,,,,,,0.0,,,,,0.0,1,,,
2018-01-20,,,,,,,,,0.0,,,,,0.0,1,,,
2018-01-21,,,,,,,,,0.0,,,,,0.0,1,,,
2018-01-22,0.0,0.0,0.207342458840598,278.9040193579765,,,,0.5615625,0.0,,0.0,2.0,0.0,2.0,8,7.895,38.25,0.5811836393989984
2018-01-23,0.0,0.0,0.20695491122748755,,,,,1.369425,0.0,0.0,0.0,2.0,1.0,2.0,9,7.96,37.95,0.5194397283531409
2018-01-24,0.0,0.0,0.20371528646484863,,,,,1.1894,0.0,0.0,0.0,2.0,0.0,2.0,9,7.86,38.25,0.5439318143601816
2018-01-25,0.0,0.0,0.20350404312668463,,,,,0.539875,0.0,0.0,0.0,0.0,0.0,0.0,9,8.004999999999999,38.05,0.7546924056494559
2018-01-26,,,,,,,,,0.0,,,,,0.0,1,,,
2018-01-27,,,,,,,,,0.0,,,,,0.0,1,,,
2018-01-28,,,,,,,,,0.0,,,,,0.0,1,,,
2018-01-29,0.0,0.0,0.1945869990224829,256.79037490763807,,,,1.4482000000000002,0.0,,0.0,2.0,0.0,2.0,8,7.885,38.0,0.5242690063527137
