variant,h,R2,persistence,n
pool만 (기준),1,0.9117221499114267,0.929333794364801,172
pool만 (기준),3,0.7522565799958469,0.8205336613295046,178
pool만 (기준),5,0.6288780574989487,0.6845338870425703,171
pool만 (기준),7,0.565546361435113,0.6221834194779337,176
pool만 (기준),10,0.3577384563670326,0.4423926925761015,176
pool만 (기준),14,0.2478768236388773,0.29177783788466083,174
pool + 이화학 6종,1,-2.1846758539713336,0.929333794364801,172
pool + 이화학 6종,3,-3.503027473104396,0.8205336613295046,178
pool + 이화학 6종,5,-8.426386404039729,0.6845338870425703,171
pool + 이화학 6종,7,-8.572177828853581,0.6221834194779337,176
pool + 이화학 6종,10,-16.976641756576623,0.4423926925761015,176
pool + 이화학 6종,14,-25.091041554718398,0.29177783788466083,174
pool + 이화학 3종,1,-0.409828821814771,0.929333794364801,172
pool + 이화학 3종,3,-2.7038780602591275,0.8205336613295046,178
pool + 이화학 3종,5,-6.953424998104164,0.6845338870425703,171
pool + 이화학 3종,7,-6.558210756853266,0.6221834194779337,176
pool + 이화학 3종,10,-14.255188804126993,0.4423926925761015,176
pool + 이화학 3종,14,-21.304458944811078,0.29177783788466083,174
이화학만,1,-2.3398323393299196,0.929333794364801,172
이화학만,3,-3.7377010884066255,0.8205336613295046,178
이화학만,5,-8.952871444903007,0.6845338870425703,171
이화학만,7,-9.02592834723952,0.6221834194779337,176
이화학만,10,-17.76879225174304,0.4423926925761015,176
이화학만,14,-26.281662330757825,0.29177783788466083,174
