fold,variant,h,R2,persistence
1 단절이전,pool+VSin (현 확정안),1,0.935773827407227,0.9500701851697311
1 단절이전,pool+VSin (현 확정안),3,0.8348505458830717,0.8373234874698
1 단절이전,pool+VSin (현 확정안),5,0.7854360103593789,0.743536772793035
1 단절이전,pool+VSin (현 확정안),7,0.7036288706772054,0.6829917363497809
1 단절이전,pool+VSin (현 확정안),10,0.5309994607297107,0.4952309146100232
1 단절이전,pool+VSin (현 확정안),14,0.44399021496991464,0.3225312930674823
1 단절이전,pool+VSin+EMA,1,0.9397937578787716,0.9500701851697311
1 단절이전,pool+VSin+EMA,3,0.8295494947908321,0.8373234874698
1 단절이전,pool+VSin+EMA,5,0.7983628802885887,0.743536772793035
1 단절이전,pool+VSin+EMA,7,0.6882790380647056,0.6829917363497809
1 단절이전,pool+VSin+EMA,10,0.5556090547749217,0.4952309146100232
1 단절이전,pool+VSin+EMA,14,0.43187660090578983,0.3225312930674823
1 단절이전,pool+VSin+SURGE,1,0.948350233144063,0.9500701851697311
1 단절이전,pool+VSin+SURGE,3,0.8291965770222541,0.8373234874698
1 단절이전,pool+VSin+SURGE,5,0.8069944910473805,0.743536772793035
1 단절이전,pool+VSin+SURGE,7,0.6854258605104214,0.6829917363497809
1 단절이전,pool+VSin+SURGE,10,0.5115099792752048,0.4952309146100232
1 단절이전,pool+VSin+SURGE,14,0.4059420566612113,0.3225312930674823
1 단절이전,pool+VSin+EMA+SURGE (원안),1,0.931757225135728,0.9500701851697311
1 단절이전,pool+VSin+EMA+SURGE (원안),3,0.8187944877558239,0.8373234874698
1 단절이전,pool+VSin+EMA+SURGE (원안),5,0.7786495964130901,0.743536772793035
1 단절이전,pool+VSin+EMA+SURGE (원안),7,0.6551310352144213,0.6829917363497809
1 단절이전,pool+VSin+EMA+SURGE (원안),10,0.5177037375128477,0.4952309146100232
1 단절이전,pool+VSin+EMA+SURGE (원안),14,0.3753059067357264,0.3225312930674823
1 단절이전,pool+EMA+SURGE (VSin 제외),1,0.9318141623164444,0.9500701851697311
1 단절이전,pool+EMA+SURGE (VSin 제외),3,0.8189758215651105,0.8373234874698
1 단절이전,pool+EMA+SURGE (VSin 제외),5,0.7788426970682696,0.743536772793035
1 단절이전,pool+EMA+SURGE (VSin 제외),7,0.6553705834880545,0.6829917363497809
1 단절이전,pool+EMA+SURGE (VSin 제외),10,0.5180299680232188,0.4952309146100232
1 단절이전,pool+EMA+SURGE (VSin 제외),14,0.37557271515190027,0.3225312930674823
1 단절이전,pool+CODema+CODsurge,1,0.9111697462680233,0.9500701851697311
1 단절이전,pool+CODema+CODsurge,3,0.6188884637742206,0.8373234874698
1 단절이전,pool+CODema+CODsurge,5,0.48452808622745724,0.743536772793035
1 단절이전,pool+CODema+CODsurge,7,0.08358177921404064,0.6829917363497809
1 단절이전,pool+CODema+CODsurge,10,-0.6059735077446087,0.4952309146100232
1 단절이전,pool+CODema+CODsurge,14,-1.244703867781594,0.3225312930674823
1 단절이전,pool+VSin+CODsurge,1,0.9466628261084954,0.9500701851697311
1 단절이전,pool+VSin+CODsurge,3,0.8237014571638268,0.8373234874698
1 단절이전,pool+VSin+CODsurge,5,0.7970292370384446,0.743536772793035
1 단절이전,pool+VSin+CODsurge,7,0.6785498729392745,0.6829917363497809
1 단절이전,pool+VSin+CODsurge,10,0.49423408758458265,0.4952309146100232
1 단절이전,pool+VSin+CODsurge,14,0.39363942842343724,0.3225312930674823
1 단절이전,pool+VSin+SURGE+유입pH,1,0.9114952428824522,0.9500701851697311
1 단절이전,pool+VSin+SURGE+유입pH,3,0.7930827419417164,0.8373234874698
1 단절이전,pool+VSin+SURGE+유입pH,5,0.7575387261409094,0.743536772793035
1 단절이전,pool+VSin+SURGE+유입pH,7,0.562636355331601,0.6829917363497809
1 단절이전,pool+VSin+SURGE+유입pH,10,0.3742783346128916,0.4952309146100232
1 단절이전,pool+VSin+SURGE+유입pH,14,0.2974243725941925,0.3225312930674823
1 단절이전,pool만,1,0.9285687144993413,0.9500701851697311
1 단절이전,pool만,3,0.7751089690971549,0.8373234874698
1 단절이전,pool만,5,0.7128429786279631,0.743536772793035
1 단절이전,pool만,7,0.570085988009267,0.6829917363497809
1 단절이전,pool만,10,0.32503993203016857,0.4952309146100232
1 단절이전,pool만,14,0.17844079672017532,0.3225312930674823
2 단절걸침,pool+VSin (현 확정안),1,0.924177699904744,0.9243907832977405
2 단절걸침,pool+VSin (현 확정안),3,0.8096761070686525,0.8502916013381995
2 단절걸침,pool+VSin (현 확정안),5,0.6071910244355769,0.6405095690959695
2 단절걸침,pool+VSin (현 확정안),7,0.66435970804189,0.5979568285648256
2 단절걸침,pool+VSin (현 확정안),10,0.4091869800015344,0.4024389818584517
2 단절걸침,pool+VSin (현 확정안),14,0.3486070007231923,0.2340534873915593
2 단절걸침,pool+VSin+EMA,1,0.9190457675328423,0.9243907832977405
2 단절걸침,pool+VSin+EMA,3,0.8025112063901463,0.8502916013381995
2 단절걸침,pool+VSin+EMA,5,0.6007838876674768,0.6405095690959695
2 단절걸침,pool+VSin+EMA,7,0.659662710489622,0.5979568285648256
2 단절걸침,pool+VSin+EMA,10,0.40837815023976487,0.4024389818584517
2 단절걸침,pool+VSin+EMA,14,0.3575413042190383,0.2340534873915593
2 단절걸침,pool+VSin+SURGE,1,0.9215558213230339,0.9243907832977405
2 단절걸침,pool+VSin+SURGE,3,0.8087474608690817,0.8502916013381995
2 단절걸침,pool+VSin+SURGE,5,0.5948532726104382,0.6405095690959695
2 단절걸침,pool+VSin+SURGE,7,0.6653727816103103,0.5979568285648256
2 단절걸침,pool+VSin+SURGE,10,0.42130127741745527,0.4024389818584517
2 단절걸침,pool+VSin+SURGE,14,0.36830770150527614,0.2340534873915593
2 단절걸침,pool+VSin+EMA+SURGE (원안),1,0.9163745931356715,0.9243907832977405
2 단절걸침,pool+VSin+EMA+SURGE (원안),3,0.7956847205855072,0.8502916013381995
