fold,variant,h,R2,persistence
1 (단절 이전),pool만 (기준),1,0.9285687213339362,0.9500701851697311
1 (단절 이전),pool만 (기준),3,0.7751091193849233,0.8373234874698
1 (단절 이전),pool만 (기준),5,0.7128431355976628,0.743536772793035
1 (단절 이전),pool만 (기준),7,0.570086341957961,0.6829917363497809
1 (단절 이전),pool만 (기준),10,0.32504048276334296,0.4952309146100232
1 (단절 이전),pool만 (기준),14,0.17844156691804047,0.3225312930674823
1 (단절 이전),pool+온도·VFA·COD (기존),1,0.899584583560274,0.9500701851697311
1 (단절 이전),pool+온도·VFA·COD (기존),3,0.8018915634409562,0.8373234874698
1 (단절 이전),pool+온도·VFA·COD (기존),5,0.7923981515473766,0.743536772793035
1 (단절 이전),pool+온도·VFA·COD (기존),7,0.7334069055640735,0.6829917363497809
1 (단절 이전),pool+온도·VFA·COD (기존),10,0.6650787408263636,0.4952309146100232
1 (단절 이전),pool+온도·VFA·COD (기존),14,0.5368526231420545,0.3225312930674823
1 (단절 이전),pool+VSin·VFAALK·유량,1,0.942237057614305,0.9500701851697311
1 (단절 이전),pool+VSin·VFAALK·유량,3,0.8308773642670444,0.8373234874698
1 (단절 이전),pool+VSin·VFAALK·유량,5,0.8118466562972042,0.743536772793035
1 (단절 이전),pool+VSin·VFAALK·유량,7,0.7072019165051882,0.6829917363497809
1 (단절 이전),pool+VSin·VFAALK·유량,10,0.5689817001852939,0.4952309146100232
1 (단절 이전),pool+VSin·VFAALK·유량,14,0.4736001854775578,0.3225312930674823
1 (단절 이전),pool+VSin·VFAALK,1,0.9077792488153995,0.9500701851697311
1 (단절 이전),pool+VSin·VFAALK,3,0.7462743259630695,0.8373234874698
1 (단절 이전),pool+VSin·VFAALK,5,0.7125402717857336,0.743536772793035
1 (단절 이전),pool+VSin·VFAALK,7,0.5440833420895965,0.6829917363497809
1 (단절 이전),pool+VSin·VFAALK,10,0.37488028249123495,0.4952309146100232
1 (단절 이전),pool+VSin·VFAALK,14,0.2753747457324487,0.3225312930674823
1 (단절 이전),VSin·VFAALK·유량 (pool 제외),1,0.8252867324083087,0.9500701851697311
1 (단절 이전),VSin·VFAALK·유량 (pool 제외),3,0.5381079740826077,0.8373234874698
1 (단절 이전),VSin·VFAALK·유량 (pool 제외),5,0.41796479877620907,0.743536772793035
1 (단절 이전),VSin·VFAALK·유량 (pool 제외),7,0.2565283242632306,0.6829917363497809
1 (단절 이전),VSin·VFAALK·유량 (pool 제외),10,0.10272329506384759,0.4952309146100232
1 (단절 이전),VSin·VFAALK·유량 (pool 제외),14,-0.021889333466379002,0.3225312930674823
1 (단절 이전),pool+VSin,1,0.935742701338973,0.9500701851697311
1 (단절 이전),pool+VSin,3,0.817732815521325,0.8373234874698
1 (단절 이전),pool+VSin,5,0.783455794589445,0.743536772793035
1 (단절 이전),pool+VSin,7,0.6741835942431582,0.6829917363497809
1 (단절 이전),pool+VSin,10,0.49428020131684514,0.4952309146100232
1 (단절 이전),pool+VSin,14,0.396246266239487,0.3225312930674823
1 (단절 이전),pool+VFAALK,1,0.923657455186532,0.9500701851697311
1 (단절 이전),pool+VFAALK,3,0.778565271123674,0.8373234874698
1 (단절 이전),pool+VFAALK,5,0.731971069365071,0.743536772793035
1 (단절 이전),pool+VFAALK,7,0.5866781338180309,0.6829917363497809
1 (단절 이전),pool+VFAALK,10,0.39189718711341726,0.4952309146100232
1 (단절 이전),pool+VFAALK,14,0.22443678752990215,0.3225312930674823
2 (단절 걸침),pool만 (기준),1,0.9006967351503796,0.9243907832977405
2 (단절 걸침),pool만 (기준),3,0.7577073204188178,0.8502916013381995
2 (단절 걸침),pool만 (기준),5,0.47015828581088326,0.6405095690959695
2 (단절 걸침),pool만 (기준),7,0.5650722173862384,0.5979568285648256
2 (단절 걸침),pool만 (기준),10,0.23073898307470064,0.4024389818584517
2 (단절 걸침),pool만 (기준),14,0.1288202459032174,0.2340534873915593
2 (단절 걸침),pool+온도·VFA·COD (기존),1,0.712946653022323,0.9243907832977405
2 (단절 걸침),pool+온도·VFA·COD (기존),3,0.38643851027957266,0.8502916013381995
2 (단절 걸침),pool+온도·VFA·COD (기존),5,-0.06803938651040053,0.6405095690959695
2 (단절 걸침),pool+온도·VFA·COD (기존),7,0.11573212865533078,0.5979568285648256
2 (단절 걸침),pool+온도·VFA·COD (기존),10,-0.623427617670409,0.4024389818584517
2 (단절 걸침),pool+온도·VFA·COD (기존),14,-0.8699867392139318,0.2340534873915593
2 (단절 걸침),pool+VSin·VFAALK·유량,1,0.7651241189193062,0.9243907832977405
2 (단절 걸침),pool+VSin·VFAALK·유량,3,0.33898825354814477,0.8502916013381995
2 (단절 걸침),pool+VSin·VFAALK·유량,5,-0.1950139944982352,0.6405095690959695
2 (단절 걸침),pool+VSin·VFAALK·유량,7,-0.3876856265612654,0.5979568285648256
2 (단절 걸침),pool+VSin·VFAALK·유량,10,-1.0534447751885194,0.4024389818584517
2 (단절 걸침),pool+VSin·VFAALK·유량,14,-1.5720037566690368,0.2340534873915593
2 (단절 걸침),pool+VSin·VFAALK,1,0.7898776777708865,0.9243907832977405
2 (단절 걸침),pool+VSin·VFAALK,3,0.3531706033730667,0.8502916013381995
2 (단절 걸침),pool+VSin·VFAALK,5,-0.14784232848864254,0.6405095690959695
2 (단절 걸침),pool+VSin·VFAALK,7,-0.381790794176603,0.5979568285648256
2 (단절 걸침),pool+VSin·VFAALK,10,-0.9486025930130535,0.4024389818584517
2 (단절 걸침),pool+VSin·VFAALK,14,-1.4367864871767315,0.2340534873915593
2 (단절 걸침),VSin·VFAALK·유량 (pool 제외),1,0.6551290446923125,0.9243907832977405
2 (단절 걸침),VSin·VFAALK·유량 (pool 제외),3,-0.12355687729954767,0.8502916013381995
2 (단절 걸침),VSin·VFAALK·유량 (pool 제외),5,-0.724792303663484,0.6405095690959695
2 (단절 걸침),VSin·VFAALK·유량 (pool 제외),7,-0.9277015140503067,0.5979568285648256
2 (단절 걸침),VSin·VFAALK·유량 (pool 제외),10,-1.6404715913322998,0.4024389818584517
2 (단절 걸침),VSin·VFAALK·유량 (pool 제외),14,-2.13478538200942,0.2340534873915593
2 (단절 걸침),pool+VSin,1,0.924177681224908,0.9243907832977405
2 (단절 걸침),pool+VSin,3,0.8096761074849044,0.8502916013381995
2 (단절 걸침),pool+VSin,5,0.6071912203312855,0.6405095690959695
2 (단절 걸침),pool+VSin,7,0.6643598389159373,0.5979568285648256
2 (단절 걸침),pool+VSin,10,0.4091871436147094,0.4024389818584517
2 (단절 걸침),pool+VSin,14,0.348607284714993,0.2340534873915593
2 (단절 걸침),pool+VFAALK,1,0.914866280974121,0.9243907832977405
2 (단절 걸침),pool+VFAALK,3,0.6319855077687891,0.8502916013381995
2 (단절 걸침),pool+VFAALK,5,0.2799755589922013,0.6405095690959695
2 (단절 걸침),pool+VFAALK,7,-0.0023651575559031635,0.5979568285648256
2 (단절 걸침),pool+VFAALK,10,-1.3604402193789444,0.4024389818584517
2 (단절 걸침),pool+VFAALK,14,-2.6608198538926686,0.2340534873915593
3 (단절 관통),pool만 (기준),1,0.8902960255691352,0.8918544685985179
3 (단절 관통),pool만 (기준),3,0.668935282032459,0.7095619456953257
3 (단절 관통),pool만 (기준),5,0.6633630946857987,0.6182440473059997
3 (단절 관통),pool만 (기준),7,0.5226638372028105,0.504298953054904
3 (단절 관통),pool만 (기준),10,0.5701390047225987,0.3714718203647148
3 (단절 관통),pool만 (기준),14,0.5150323523385764,0.2862067663433928
3 (단절 관통),pool+온도·VFA·COD (기존),1,-4.405603085960918,0.8918544685985179
3 (단절 관통),pool+온도·VFA·COD (기존),3,-15.814449366371115,0.7095619456953257
3 (단절 관통),pool+온도·VFA·COD (기존),5,-30.465655080713695,0.6182440473059997
3 (단절 관통),pool+온도·VFA·COD (기존),7,-34.060515677314456,0.504298953054904
3 (단절 관통),pool+온도·VFA·COD (기존),10,-61.17641114774426,0.3714718203647148
3 (단절 관통),pool+온도·VFA·COD (기존),14,-90.38877582587695,0.2862067663433928
3 (단절 관통),pool+VSin·VFAALK·유량,1,-18.17243224156038,0.8918544685985179
3 (단절 관통),pool+VSin·VFAALK·유량,3,-32.68226703990401,0.7095619456953257
3 (단절 관통),pool+VSin·VFAALK·유량,5,-38.85430324918041,0.6182440473059997
3 (단절 관통),pool+VSin·VFAALK·유량,7,-96.43109519574509,0.504298953054904
3 (단절 관통),pool+VSin·VFAALK·유량,10,-77.41150873509066,0.3714718203647148
3 (단절 관통),pool+VSin·VFAALK·유량,14,-155.17907404166786,0.2862067663433928
3 (단절 관통),pool+VSin·VFAALK,1,-6.19224136710099,0.8918544685985179
3 (단절 관통),pool+VSin·VFAALK,3,-13.643977752666345,0.7095619456953257
3 (단절 관통),pool+VSin·VFAALK,5,-16.216309534437347,0.6182440473059997
3 (단절 관통),pool+VSin·VFAALK,7,-45.497095039374685,0.504298953054904
3 (단절 관통),pool+VSin·VFAALK,10,-40.87751287455251,0.3714718203647148
3 (단절 관통),pool+VSin·VFAALK,14,-89.01802104933626,0.2862067663433928
3 (단절 관통),VSin·VFAALK·유량 (pool 제외),1,-28.102654829480286,0.8918544685985179
3 (단절 관통),VSin·VFAALK·유량 (pool 제외),3,-48.28887790240172,0.7095619456953257
3 (단절 관통),VSin·VFAALK·유량 (pool 제외),5,-56.89844088965351,0.6182440473059997
3 (단절 관통),VSin·VFAALK·유량 (pool 제외),7,-132.7537904881649,0.504298953054904
3 (단절 관통),VSin·VFAALK·유량 (pool 제외),10,-99.100507177416,0.3714718203647148
3 (단절 관통),VSin·VFAALK·유량 (pool 제외),14,-186.4371439058003,0.2862067663433928
3 (단절 관통),pool+VSin,1,0.8974834788213863,0.8918544685985179
3 (단절 관통),pool+VSin,3,0.7049430666913789,0.7095619456953257
3 (단절 관통),pool+VSin,5,0.6986868310332748,0.6182440473059997
3 (단절 관통),pool+VSin,7,0.5842643576143545,0.504298953054904
3 (단절 관통),pool+VSin,10,0.6277343115696254,0.3714718203647148
3 (단절 관통),pool+VSin,14,0.5970101754161443,0.2862067663433928
3 (단절 관통),pool+VFAALK,1,-10.594320080423605,0.8918544685985179
3 (단절 관통),pool+VFAALK,3,-21.224055144746956,0.7095619456953257
3 (단절 관통),pool+VFAALK,5,-24.7909551417818,0.6182440473059997
3 (단절 관통),pool+VFAALK,7,-67.27665681644473,0.504298953054904
3 (단절 관통),pool+VFAALK,10,-56.75348807465848,0.3714718203647148
3 (단절 관통),pool+VFAALK,14,-119.34749858076043,0.2862067663433928
