origin_idx,h,fold,y_true,pred_HistGBM,pred_RandomForest,pred_ExtraTrees,pred_ElasticNet,pred_BayesianRidge,pred_kNN,pred_FlowConc,pred_Naive,pred_SeasonalNaive,pred_Stack
730,1,0,9478.6615,6961.808659092808,7004.894856918487,7268.696044035883,7982.48095703125,7564.6943359375,8765.81983033871,7195.908922718238,9444.4905,8138.022872222223,8258.916339546402
730,2,0,8828.623,6625.793644899152,6983.584145740908,7292.4601817256935,7982.48095703125,7561.62646484375,8681.206981051015,7151.291059411205,9444.4905,8138.022872222223,8205.598133181702
731,1,0,8828.623,7648.4492903023,7400.504181327348,7665.701968376159,7813.72998046875,7045.1337890625,8997.411368752497,7870.165451690554,9478.6615,8213.538755555555,8217.257801871132
732,3,0,9166.597,7496.143686847571,7500.941266388803,7277.881810888882,7402.16357421875,5152.51708984375,7920.351272404029,7347.215982214715,8828.623,8246.186222222223,6885.060674465713
733,2,0,9166.597,7451.677104922641,6933.98344213492,7152.6894535000065,7063.015625,4138.990234375,7738.4608927141435,7423.465745145155,8828.623,8243.955344444445,6412.1704312469055
733,3,0,8918.863,7412.176001784694,6838.457684288887,6998.612224881948,7063.015625,4135.921875,7715.229432337942,7424.71831708801,8828.623,8243.955344444445,6396.760448259706
734,1,0,9166.597,8101.517839042623,7647.54404759003,7355.0474082800865,8051.76904296875,5362.5419921875,7690.304209974831,7464.311939502771,8828.623,8300.989416666667,6834.084356696609
734,2,0,8918.863,7810.804076378022,7508.119329621279,7215.071849754621,8051.76904296875,5359.4736328125,7719.909104442498,7389.476113382338,8828.623,8300.989416666667,6851.305458002675
734,3,0,9114.864,7771.302973240075,7350.530935302943,7036.6676649374895,8051.76904296875,5356.40576171875,7645.663625552994,7330.176350755553,8828.623,8300.989416666667,6804.390012357608
735,1,0,8918.863,8748.481108366685,7593.06007443783,7527.592906608803,7784.81640625,6028.19873046875,7660.017732130036,8304.956032539309,9166.597,8337.829516666667,7038.3357749763245
735,2,0,9114.864,8542.705650429589,7396.557461390542,7336.538177928246,7784.81640625,6025.130859375,7667.508069642604,8215.888953361029,9166.597,8337.829516666667,7041.899366401022
735,3,0,9073.308,8449.145382248389,7215.979785169313,7122.384769712967,7784.81640625,6022.0625,7638.986876947335,8141.957338308491,9166.597,8337.829516666667,7023.222509654223
736,1,0,9114.864,8886.842940873794,8079.3421709398135,7804.279373578711,8283.697265625,8088.435546875,8412.38543939477,8790.462120966577,8918.863,8340.6582,8230.519872931296
736,2,0,9073.308,8903.04085204932,7948.893747247685,7675.615894405096,8283.697265625,8085.3671875,8396.60892132091,8821.752069574493,8918.863,8340.6582,8219.713970815837
736,3,0,9133.984,8794.80177573448,7713.144307172287,7525.861463261576,8283.697265625,8082.29931640625,8385.37149169449,8706.434738002648,8918.863,8340.6582,8211.711523100576
737,1,0,9073.308,9059.11762597839,8014.406863190802,7957.068169222222,8320.8857421875,7050.50146484375,8178.775703240891,8657.252119100727,9114.864,8360.441350000001,7727.878933287685
737,2,0,9133.984,9061.64287857443,7914.6064883925255,7812.3803704236125,8320.8857421875,7047.43359375,8139.529229258304,8701.874474533937,9114.864,8360.441350000001,7702.578443531851
738,1,0,9133.984,8720.804553127995,8046.835283521161,7998.923852523148,8685.015625,8050.33935546875,8330.134539793085,8196.50502819021,9073.308,8375.07445,8177.879483911669
739,3,0,8013.87,8895.748761636833,7917.698741226519,7946.457623706017,8579.853515625,7644.51513671875,8326.341270733827,8753.339896611385,9133.984,8386.4558,8032.033256728534
740,2,0,8013.87,8739.024645592564,8301.766039499338,8142.53160585648,8881.3681640625,8256.7119140625,8353.795439277963,8582.107709746295,9133.984,8408.3844,8269.50791299661
740,3,0,8370.716,8735.828487663217,8116.287670996035,7970.983299699073,8881.3681640625,8253.6435546875,8344.999014314106,8512.938840919991,9133.984,8408.3844,8263.012830719508
741,1,0,8013.87,8946.616666819538,8404.015978442787,8233.987696266198,8670.3681640625,7674.236328125,8379.426081806263,8745.465946284807,9133.984,8407.887233333333,8077.669346410084
741,2,0,8370.716,8771.800741664367,8268.722678942788,8125.445107733798,8670.3681640625,7671.16796875,8388.20053811837,8717.142736947084,9133.984,8407.887233333333,8082.025824762346
741,3,0,8675.014,8723.136345733874,8091.6947860548935,7994.494580905091,8670.3681640625,7668.10009765625,8351.235891552582,8698.011871171306,9133.984,8407.887233333333,8058.134563614356
