날짜,구분,소화조_투입량_tpd,반입_총량_tpd,반입_음폐수_tpd,반입_가축분뇨_tpd,반입_음식물_tpd,반입비율_음폐수,반입비율_가축분뇨,반입비율_음식물,유입비율_음폐수,유입비율_가축분뇨,유입비율_음식물,투입톤_음폐수_t,투입톤_가축분뇨_t,투입톤_음식물_t,잔존재고_음폐수_t,잔존재고_가축분뇨_t,잔존재고_음식물_t,잔존재고_합계_t,재고_평균체류일,발생가중재고_음폐수_t,발생가중재고_가축분뇨_t,발생가중재고_음식물_t,예측CH4_음폐수_m3d,예측CH4_가축분뇨_m3d,예측CH4_음식물_m3d,예측CH4_합계_m3d,실측CH4_m3d,잔차_m3d,잔차율_pct,소화액_TS_pct,소화액_VS_pct,소화액_pH,소화조_온도_C,VFA_A_mgL,ALK_A_mgL,VFA_ALK_A,NH3N_A_mgL,FAN_A_mgL,OLR_kgVS_m3d
2018-01-01,학습,135.0,203.81,183.62,0.0,20.19,0.9009,0.0,0.0991,0.9009,0.0,0.0991,121.627,0.0,13.373,121.63,0.0,13.37,135.0,0.0,48.651,0.0,4.012,1949.7,0.0,53.8,2003.5,,,,,,,37.95,,,,,,
2018-01-02,학습,187.0,186.01,129.71,41.03,15.27,0.6973,0.2206,0.0821,0.7823,0.1285,0.0892,146.294,24.03,16.676,258.2,24.03,28.98,311.21,0.4,88.522,1.922,7.737,3547.6,100.2,103.7,3751.5,8497.3,4745.8,55.85,2.815,1.33,7.82,37.95,3359.0,16068.0,0.209,2814.0,241.9,1.529
2018-01-03,학습,199.0,216.24,158.23,41.56,16.45,0.7317,0.1922,0.0761,0.7596,0.1571,0.0833,151.167,31.256,16.577,388.72,53.36,43.24,485.32,0.83,115.06,4.133,10.247,4611.1,215.4,137.4,4963.9,8679.8,3715.9,42.81,2.83,1.335,7.86,37.95,3277.0,15778.0,0.2077,,,1.664
2018-01-04,학습,216.0,221.86,125.76,79.04,17.06,0.5668,0.3563,0.0769,0.6854,0.2337,0.0808,148.051,50.488,17.46,505.69,99.59,57.24,662.52,1.23,130.181,7.549,12.222,5217.1,393.4,163.9,5774.4,8414.1,2639.8,31.37,2.94,1.3,7.82,37.55,3359.0,15868.0,0.2117,,,1.598
2018-01-05,학습,204.0,215.39,157.38,39.15,18.86,0.7307,0.1818,0.0876,0.7012,0.2156,0.0832,143.052,43.978,16.97,608.31,135.6,69.64,813.55,1.67,137.507,9.93,13.421,5510.7,517.5,180.0,6208.1,7410.7,1202.6,16.23,,,,,,,,,,
2018-01-06,학습,150.0,211.29,155.49,40.8,15.0,0.7359,0.1931,0.071,0.7126,0.2082,0.0792,106.891,31.231,11.878,666.56,155.99,75.95,898.5,2.23,127.56,10.932,12.711,5112.1,569.7,170.4,5852.2,5418.2,-434.0,-8.01,,,,,,,,,,
2018-01-07,학습,138.0,0.0,,,,,,,0.7199,0.2035,0.0766,99.349,28.078,10.573,712.62,171.6,80.45,964.66,2.76,118.409,11.531,11.836,4745.3,600.9,158.7,5504.9,5561.0,56.0,1.01,,,,,,,,,,
2018-01-08,학습,111.0,242.79,132.54,86.65,23.6,0.5459,0.3569,0.0972,0.6669,0.2502,0.0829,74.027,27.773,9.2,729.66,185.65,83.22,998.53,3.35,102.636,12.015,10.827,4113.2,626.1,145.2,4884.5,3907.5,-977.0,-25.0,2.73,1.19,7.89,38.05,3318.0,16248.0,0.2042,2837.0,278.1,0.87
2018-01-09,학습,211.0,213.87,157.48,41.02,15.37,0.7363,0.1918,0.0719,0.6876,0.2328,0.0796,145.088,49.117,16.795,816.41,219.92,93.36,1129.69,3.53,121.333,14.134,12.418,4862.5,736.5,166.5,5765.6,6659.3,893.8,13.42,2.665,1.225,7.88,38.1,3379.0,16028.0,0.2108,,,1.466
2018-01-10,학습,151.0,208.93,155.3,39.53,14.1,0.7433,0.1892,0.0675,0.704,0.22,0.076,106.303,33.216,11.482,857.44,235.55,97.37,1190.37,3.96,117.35,14.661,11.909,4702.9,764.0,159.7,5626.6,5230.1,-396.4,-7.58,2.75,1.25,7.85,38.2,3298.0,15708.0,0.21,,,1.061
2018-01-11,학습,205.0,170.45,157.94,0.0,12.51,0.9266,0.0,0.0734,0.7688,0.156,0.0753,157.594,31.976,15.43,946.47,248.7,105.02,1300.19,4.18,135.41,15.01,12.746,5426.7,782.2,170.9,6379.7,7031.2,651.4,9.26,2.83,1.365,7.84,38.05,3357.0,16338.0,0.2055,,,1.586
2018-01-12,학습,216.0,189.0,152.95,20.82,15.23,0.8093,0.1102,0.0806,0.7804,0.1427,0.0768,168.577,30.834,16.59,1039.38,259.65,113.21,1412.23,4.39,150.941,15.215,13.664,6049.1,792.9,183.2,7025.2,7656.5,631.3,8.25,,,,,,,,,,
2018-01-13,학습,167.0,185.93,129.92,42.09,13.92,0.6988,0.2264,0.0749,0.757,0.1668,0.0762,126.416,27.851,12.733,1082.69,266.74,116.89,1466.32,4.77,143.656,15.15,13.133,5757.1,789.5,176.1,6722.7,6959.9,237.2,3.41,,,,,,,,,,
2018-01-14,학습,97.0,0.0,,,,,,,0.7403,0.1838,0.0759,71.811,17.831,7.358,1067.93,263.24,114.9,1446.08,5.38,117.32,14.294,11.159,4701.7,744.9,149.6,5596.2,4752.7,-843.4,-17.75,,,,,,,,,,
2018-01-15,학습,114.0,217.96,132.97,61.44,23.55,0.6101,0.2819,0.108,0.7031,0.2118,0.085,80.159,24.147,9.695,1062.7,266.34,115.41,1444.45,5.88,104.418,14.071,10.514,4184.6,733.3,141.0,5058.9,4337.4,-721.4,-16.63,2.72,1.38,7.98,38.15,3297.0,15888.0,0.2075,2568.0,312.6,0.919
2018-01-16,학습,203.0,163.72,105.36,40.94,17.42,0.6435,0.2501,0.1064,0.6862,0.2227,0.0911,139.292,45.21,18.498,1117.03,290.25,124.68,1531.96,5.97,120.114,15.568,12.716,4813.6,811.3,170.5,5795.4,7160.5,1365.1,19.06,2.605,1.16,7.95,38.05,3358.0,15918.0,0.211,,,1.627
2018-01-17,학습,172.0,196.26,156.84,22.23,17.19,0.7991,0.1133,0.0876,0.7183,0.1916,0.0901,123.548,32.951,15.5,1151.26,300.0,130.21,1581.47,6.21,123.496,15.858,13.317,4949.2,826.4,178.6,5954.1,6300.4,346.3,5.5,2.665,1.325,7.96,37.95,3378.0,15728.0,0.2148,,,1.273
2018-01-18,학습,88.0,160.06,105.0,39.35,15.71,0.656,0.2458,0.0982,0.7006,0.207,0.0924,61.653,18.216,8.131,1120.87,294.23,127.93,1543.03,6.8,100.824,14.926,11.516,4040.6,777.8,154.4,4972.8,3564.3,-1408.5,-39.52,2.62,1.185,7.84,38.0,3338.0,15848.0,0.2106,,,0.654
2018-01-19,학습,189.0,151.14,133.18,,17.96,0.8812,,0.1188,0.7028,0.2038,0.0934,132.831,38.519,17.65,1164.08,309.22,135.35,1608.65,6.88,115.313,15.758,13.144,4621.3,821.2,176.2,5618.7,5873.3,254.6,4.34,,,,,,,,,,
2018-01-20,학습,169.0,42.07,26.5,,15.57,0.6299,,0.3701,0.6405,0.2018,0.1577,108.251,34.097,26.652,1179.25,318.59,151.18,1649.03,7.08,114.417,16.111,16.955,4585.3,839.6,227.3,5652.2,5895.0,242.7,4.12,,,,,,,,,,
2018-01-21,학습,120.0,0.0,,,,,,,0.5993,0.2004,0.2003,71.911,24.049,24.04,1156.88,317.17,163.14,1637.18,7.48,99.328,15.607,18.768,3980.6,813.3,251.6,5045.6,4723.2,-322.4,-6.82,,,,,,,,,,
2018-01-22,학습,75.0,214.42,104.25,86.44,23.73,0.4862,0.4031,0.1107,0.5704,0.2521,0.1775,42.78,18.911,13.309,1107.16,310.72,163.4,1581.28,8.08,78.37,14.768,16.785,3140.7,769.6,225.1,4135.4,2611.0,-1524.4,-58.38,2.545,1.24,7.9,38.25,3277.0,15818.0,0.2072,2889.0,298.7,0.562
2018-01-23,학습,186.0,258.5,183.83,58.82,15.85,0.7111,0.2275,0.0613,0.6074,0.2457,0.1469,112.97,45.697,27.333,1131.6,331.57,177.67,1640.85,8.05,93.521,16.198,19.64,3747.9,844.1,263.3,4855.4,5690.7,835.3,14.68,2.625,1.235,7.96,37.95,3215.0,15568.0,0.2065,,,1.369
2018-01-24,학습,152.0,85.96,72.3,,13.66,0.8411,,0.1589,0.6315,0.227,0.1415,95.99,34.499,21.511,1137.12,339.56,184.98,1661.65,8.22,96.073,16.517,19.84,3850.2,860.7,266.0,4976.9,5175.6,198.7,3.84,2.7,1.245,7.86,38.25,3278.0,15958.0,0.2054,,,1.189
