경과일_tau,잔존율_SRT8일,잔존율_SRT12일,잔존율_SRT20일,잔존율_SRT41일,잔존율_채택_SRT12일,누적잔존_비중_SRT12일,메탄발생가중_음폐수,누적메탄_비중_음폐수,메탄발생가중_가축분뇨,누적메탄_비중_가축분뇨,메탄발생가중_음식물,누적메탄_비중_음식물
0,1.0,1.0,1.0,1.0,1.0,0.08,0.4,0.38328,0.08,0.15069,0.3,0.31841
1,0.8825,0.92004,0.95123,0.9759,0.92004,0.1536,0.24669,0.61965,0.067945,0.27868,0.204476,0.53544
2,0.7788,0.84648,0.90484,0.95239,0.84648,0.22131,0.15214,0.76543,0.057706,0.38737,0.139368,0.68336
3,0.68729,0.7788,0.86071,0.92944,0.7788,0.28361,0.093828,0.85533,0.04901,0.47969,0.094991,0.78418
4,0.60653,0.71653,0.81873,0.90705,0.71653,0.34093,0.057866,0.91078,0.041625,0.5581,0.064745,0.8529
5,0.53526,0.65924,0.7788,0.88519,0.65924,0.39367,0.035687,0.94498,0.035352,0.62469,0.044129,0.89974
6,0.47237,0.60653,0.74082,0.86386,0.60653,0.44219,0.022009,0.96607,0.030025,0.68125,0.030078,0.93167
7,0.41686,0.55804,0.70469,0.84305,0.55804,0.48683,0.013574,0.97907,0.0255,0.72928,0.0205,0.95342
8,0.36788,0.51342,0.67032,0.82273,0.51342,0.5279,0.008371,0.98709,0.021658,0.77007,0.013973,0.96825
9,0.32465,0.47237,0.63763,0.80291,0.47237,0.56569,0.005163,0.99204,0.018394,0.80472,0.009524,0.97836
10,0.2865,0.4346,0.60653,0.78356,0.4346,0.60046,0.003184,0.99509,0.015622,0.83415,0.006491,0.98525
11,0.25284,0.39985,0.57695,0.76468,0.39985,0.63244,0.001964,0.99697,0.013268,0.85914,0.004424,0.98995
12,0.22313,0.36788,0.54881,0.74626,0.36788,0.66187,0.001211,0.99813,0.011269,0.88037,0.003016,0.99315
13,0.19691,0.33847,0.52205,0.72828,0.33847,0.68895,0.000747,0.99885,0.009571,0.8984,0.002055,0.99533
14,0.17377,0.3114,0.49659,0.71073,0.3114,0.71386,0.000461,0.99929,0.008128,0.91371,0.001401,0.99682
15,0.15335,0.2865,0.47237,0.6936,0.2865,0.73678,0.000284,0.99956,0.006903,0.92671,0.000955,0.99783
16,0.13534,0.2636,0.44933,0.67689,0.2636,0.75786,0.000175,0.99973,0.005863,0.93775,0.000651,0.99852
17,0.11943,0.24252,0.42741,0.66058,0.24252,0.77727,0.000108,0.99983,0.00498,0.94713,0.000444,0.99899
18,0.1054,0.22313,0.40657,0.64467,0.22313,0.79511,6.7e-05,0.9999,0.004229,0.9551,0.000302,0.99931
19,0.09301,0.20529,0.38674,0.62913,0.20529,0.81154,4.1e-05,0.99994,0.003592,0.96187,0.000206,0.99953
20,0.08208,0.18888,0.36788,0.61397,0.18888,0.82665,2.5e-05,0.99996,0.003051,0.96761,0.00014,0.99968
21,0.07244,0.17377,0.34994,0.59918,0.17377,0.84055,1.6e-05,0.99998,0.002591,0.97249,9.6e-05,0.99978
22,0.06393,0.15988,0.33287,0.58474,0.15988,0.85334,1e-05,0.99999,0.002201,0.97664,6.5e-05,0.99985
23,0.05642,0.1471,0.31664,0.57065,0.1471,0.8651,6e-06,0.99999,0.001869,0.98016,4.4e-05,0.9999
24,0.04979,0.13534,0.30119,0.5569,0.13534,0.87593,4e-06,0.99999,0.001587,0.98315,3e-05,0.99993
25,0.04394,0.12451,0.2865,0.54348,0.12451,0.88589,2e-06,1.0,0.001348,0.98569,2.1e-05,0.99995
26,0.03877,0.11456,0.27253,0.53039,0.11456,0.89506,1e-06,1.0,0.001145,0.98784,1.4e-05,0.99997
