날짜,소화조_투입량_tpd,산발효조_TS_pct,유입_TS부하_tpd,소화액_TS_A_pct,소화액_TS_B_pct,소화액_TS_평균_pct,소화액_VS_평균_pct,TS제거율_pct,잔여고형물_tpd,역산_배출유량_tpd,탈수기_처리량_tpd,추적자_알칼리도_A_mgL,추적자_NH3N_A_mgL,분뇨_반입비율,분뇨_투입상당톤_t,실측CH4_m3d
2018-01-01,135.0,,,,,,,,,,327.0,,,0.0,0.0,
2018-01-02,187.0,7.3,13.651,2.93,2.7,2.815,1.33,61.44,5.264,187.0,317.0,16068.0,2814.0,0.2206,24.03,8497.3
2018-01-03,199.0,7.91,15.741,2.84,2.82,2.83,1.335,64.22,5.632,199.0,430.0,15778.0,,0.1922,31.256,8679.8
2018-01-04,216.0,7.22,15.595,2.94,2.94,2.94,1.3,59.28,6.35,216.0,492.0,15868.0,,0.3563,50.488,8414.1
2018-01-05,204.0,,,,,,,,,,334.0,,,0.1818,43.978,7410.7
2018-01-06,150.0,,,,,,,,,,360.0,,,0.1931,31.231,5418.2
2018-01-07,138.0,,,,,,,,,,197.0,,,,28.078,5561.0
2018-01-08,111.0,7.45,8.27,2.85,2.61,2.73,1.19,63.36,3.03,111.0,334.0,16248.0,2837.0,0.3569,27.773,3907.5
2018-01-09,211.0,6.88,14.517,2.75,2.58,2.665,1.225,61.26,5.624,211.0,387.0,16028.0,,0.1918,49.117,6659.3
2018-01-10,151.0,6.73,10.162,2.76,2.74,2.75,1.25,59.14,4.152,151.0,200.0,15708.0,,0.1892,33.216,5230.1
2018-01-11,205.0,7.28,14.924,2.81,2.85,2.83,1.365,61.13,5.801,205.0,422.0,16338.0,,0.0,31.976,7031.2
2018-01-12,216.0,,,,,,,,,,432.0,,,0.1102,30.834,7656.5
2018-01-13,167.0,,,,,,,,,,327.0,,,0.2264,27.851,6959.9
2018-01-14,97.0,,,,,,,,,,295.0,,,,17.831,4752.7
2018-01-15,114.0,7.71,8.789,2.72,2.72,2.72,1.38,64.72,3.101,114.0,349.0,15888.0,2568.0,0.2819,24.147,4337.4
2018-01-16,203.0,7.62,15.469,2.59,2.62,2.605,1.16,65.81,5.289,203.0,343.0,15918.0,,0.2501,45.21,7160.5
2018-01-17,172.0,7.14,12.281,2.64,2.69,2.665,1.325,62.68,4.583,172.0,256.0,15728.0,,0.1133,32.951,6300.4
2018-01-18,88.0,7.16,6.301,2.63,2.61,2.62,1.185,63.41,2.306,88.0,200.0,15848.0,,0.2458,18.216,3564.3
2018-01-19,189.0,,,,,,,,,,355.0,,,,38.519,5873.3
2018-01-20,169.0,,,,,,,,,,412.0,,,,34.097,5895.0
2018-01-21,120.0,,,,,,,,,,268.0,,,,24.049,4723.2
2018-01-22,75.0,7.11,5.332,2.47,2.62,2.545,1.24,64.21,1.908,75.0,223.0,15818.0,2889.0,0.4031,18.911,2611.0
2018-01-23,186.0,6.99,13.001,2.62,2.63,2.625,1.235,62.45,4.882,186.0,422.0,15568.0,,0.2275,45.697,5690.7
2018-01-24,152.0,7.52,11.43,2.61,2.79,2.7,1.245,64.1,4.103,152.0,296.0,15958.0,,,34.499,5175.6
2018-01-25,70.0,7.46,5.222,2.75,2.69,2.72,1.185,63.54,1.904,70.0,236.0,15928.0,,,15.008,3259.5
2018-01-26,100.0,,,,,,,,,,346.0,,,,19.243,3185.7
2018-01-27,192.0,,,,,,,,,,436.0,,,,34.328,5977.4
2018-01-28,170.0,,,,,,,,,,550.0,,,,28.885,5714.5
2018-01-29,208.0,6.66,13.853,2.53,2.53,2.53,1.21,62.01,5.263,208.0,454.0,16048.0,2792.0,0.2467,38.9,6074.0
2018-01-30,231.0,6.2,14.322,2.75,2.49,2.62,1.135,57.74,6.052,231.0,469.0,15948.0,,0.3043,49.623,6315.7
2018-01-31,240.0,6.13,14.712,2.66,2.56,2.61,1.18,57.42,6.264,240.0,341.0,15738.0,,0.3094,57.199,6287.4
2018-02-01,244.0,6.09,14.86,2.57,2.53,2.55,1.095,58.13,6.222,244.0,355.0,15218.0,,0.4241,69.83,6284.2
2018-02-02,119.0,,,,,,,,,,404.0,,,0.1027,28.283,6445.2
2018-02-03,78.0,,,,,,,,,,360.0,,,0.1977,17.699,5088.2
2018-02-04,66.0,,,,,,,,,,323.0,,,,14.45,4611.7
2018-02-05,134.0,7.07,9.474,2.53,2.49,2.51,1.08,64.5,3.363,134.0,317.0,15108.0,2786.0,0.247,30.375,4065.9
2018-02-06,135.0,6.84,9.234,2.47,2.5,2.485,1.135,63.67,3.355,135.0,328.0,15248.0,,0.4143,37.648,4549.2
2018-02-07,160.0,7.0,11.2,2.56,2.49,2.525,1.185,63.93,4.04,160.0,333.0,15338.0,,0.2279,42.339,5320.9
2018-02-08,161.0,7.36,11.85,2.56,2.69,2.625,1.185,64.33,4.227,161.0,326.0,15348.0,,0.145,37.197,5763.2
2018-02-09,127.0,,,,,,,,,,281.0,,,0.3633,34.071,4947.2
2018-02-10,117.0,,,,,,,,,,226.0,,,0.2488,30.744,4240.0
2018-02-11,8.0,,,,,,,,,,0.0,,,,2.071,1469.8
2018-02-12,109.0,7.14,7.783,2.57,2.54,2.555,1.145,64.22,2.785,109.0,204.0,15478.0,2545.0,,27.901,3145.2
2018-02-13,190.0,6.92,13.148,2.58,2.59,2.585,1.15,62.64,4.912,190.0,246.0,15708.0,,,45.075,5698.0
2018-02-14,130.0,7.17,9.321,2.62,2.58,2.6,1.17,63.74,3.38,130.0,206.0,15618.0,,,29.282,3986.3
2018-02-15,125.0,,,,,,,,,,230.0,,,0.5042,30.928,3997.2
2018-02-16,26.0,,,,,,,,,,43.0,,,,6.479,1571.5
2018-02-17,124.0,,,,,,,,,,331.0,,,,31.024,2933.4
2018-02-18,219.0,,,,,,,,,,285.0,,,,54.929,
2018-02-19,190.0,6.82,12.958,2.55,2.47,2.51,1.125,63.2,4.769,190.0,371.0,15598.0,2755.0,0.2346,47.086,4333.9
2018-02-20,222.0,5.57,12.365,2.77,2.77,2.77,1.21,50.27,6.149,222.0,332.0,15398.0,,0.4462,64.041,4593.8
2018-02-21,204.0,5.49,11.2,2.45,2.58,2.515,1.125,54.19,5.131,204.0,235.0,15668.0,,0.3008,59.409,4621.8
2018-02-22,104.0,5.7,5.928,2.48,2.51,2.495,1.045,56.23,2.595,104.0,203.0,15178.0,,0.2212,28.562,3521.5
2018-02-23,134.0,,,,,,,,,,319.0,,,0.1448,32.479,3525.3
2018-02-24,188.0,,,,,,,,,,390.0,,,0.1837,42.727,5509.0
2018-02-25,66.0,,,,,,,,,,97.0,,,,14.24,2776.1
2018-02-26,177.0,7.35,13.01,2.45,2.48,2.465,1.125,66.46,4.364,177.0,402.0,15328.0,,0.3395,44.09,5360.9
2018-02-27,191.0,7.14,13.637,2.46,2.58,2.52,1.06,64.71,4.812,191.0,371.0,15338.0,,0.1914,44.566,5993.5
2018-02-28,105.0,7.59,7.969,2.61,2.5,2.555,1.125,66.34,2.682,105.0,348.0,15388.0,,0.1494,22.067,6560.4
2018-03-01,221.0,,,,,,,,,,452.0,,,0.349,54.98,7354.8
2018-03-02,204.0,,,,,,,,,,390.0,,,0.2908,53.151,6596.0
2018-03-03,191.0,,,,,,,,,,338.0,,,0.3595,55.071,6569.3
2018-03-04,159.0,,,,,,,,,,409.0,,,,49.031,
2018-03-05,192.0,7.94,15.245,2.47,2.58,2.525,1.18,68.2,4.848,192.0,454.0,15438.0,2614.0,0.3581,61.902,7971.8
2018-03-06,120.0,6.92,8.304,2.54,2.53,2.535,1.185,63.37,3.042,120.0,381.0,15338.0,,0.4055,41.503,5850.1
2018-03-07,216.0,6.45,13.932,2.48,2.5,2.49,1.09,61.4,5.378,216.0,488.0,15248.0,,0.3584,75.469,7266.7
2018-03-08,218.0,6.84,14.911,2.46,2.52,2.49,1.01,63.6,5.428,218.0,463.0,15418.0,,0.2486,69.952,6855.7
2018-03-09,237.0,,,,,,,,,,354.0,,,0.2203,69.299,6974.9
2018-03-10,240.0,,,,,,,,,,433.0,,,0.3683,75.336,7136.2
2018-03-11,205.0,,,,,,,,,,326.0,,,,67.509,8272.8
2018-03-12,197.0,6.62,13.041,3.47,2.49,2.98,1.515,54.98,5.871,197.0,311.0,15280.0,3032.0,0.3979,68.703,9651.8
2018-03-13,190.0,8.05,15.295,2.57,2.59,2.58,1.23,67.95,4.902,190.0,353.0,15018.0,,0.1951,57.987,10307.7
2018-03-14,216.0,7.07,15.271,2.62,2.59,2.605,1.245,63.15,5.627,216.0,409.0,15128.0,,0.2934,65.201,11406.9
2018-03-15,215.0,7.03,15.114,2.63,2.54,2.585,1.235,63.23,5.557,215.0,405.0,14988.0,,0.3468,67.64,10327.9
2018-03-16,216.0,,,,,,,,,,385.0,,,0.3988,73.109,9098.7
2018-03-17,216.0,,,,,,,,,,380.0,,,0.3661,74.804,8825.9
2018-03-18,153.0,,,,,,,,,,285.0,,,,53.846,9836.1
2018-03-19,39.0,7.17,2.796,2.58,2.46,2.52,1.23,64.85,0.983,39.0,182.0,15198.0,2843.0,0.3582,13.794,
2018-03-20,173.0,7.13,12.335,2.68,2.59,2.635,1.335,63.04,4.559,173.0,372.0,14868.0,,0.4978,68.259,
2018-03-21,216.0,8.43,18.209,2.53,2.54,2.535,1.21,69.93,5.475,216.0,459.0,15048.0,,0.2364,75.543,
2018-03-22,161.0,7.75,12.478,2.53,2.47,2.5,1.165,67.74,4.025,161.0,377.0,15208.0,,0.1934,49.173,
2018-03-23,216.0,,,,,,,,,,435.0,,,0.1756,58.024,
2018-03-24,208.0,,,,,,,,,,278.0,,,0.2439,54.417,
2018-03-25,179.0,,,,,,,,,,422.0,,,,45.93,
2018-03-26,171.0,8.48,14.501,2.56,2.59,2.575,1.23,69.63,4.404,171.0,212.0,14728.0,2773.0,0.311,46.516,
2018-03-27,216.0,10.15,21.924,2.84,2.54,2.69,1.34,73.5,5.81,216.0,472.0,15478.0,,0.4323,68.572,
2018-03-28,205.0,6.58,13.489,2.58,2.65,2.615,1.28,60.26,5.361,205.0,304.0,14888.0,,,63.92,
