항목,값,단위,비고
유입 TS,12.15,t/d,기질별 투입 톤 × 산발효조 TS 함량
TS 제거율,58.1,%,유입 TS 대비 소화 중 분해·가스화
잔여 고형물,5.09,t/d,유입 TS × (1 − 제거율)
소화조 배출 유량 (역산),196.2,t/d,잔여 고형물 ÷ 소화액 TS 농도
소화조 투입량 (비교),197.0,t/d,배출/유입 = 0.996 — 수지가 닫힘
탈수기 처리량 (비교),312.9,t/d,"배출 유량의 1.59배 — 반송·희석수 포함, SRT 분모로 쓰면 안 됨"
"SRT (유효 용적 8,000㎥)",40.8,일,설계 용적 100% 가정
"SRT (유효 용적 4,800㎥)",24.5,일,설계 용적 60% 가정
"SRT (유효 용적 2,400㎥)",12.2,일,설계 용적 30% 가정
소화액 TS 변동계수,8.2,%,이 값이 작아 동적 응답으로 SRT를 읽을 수 없음
A. 소화액 TS 응답 R²,0.0921,-,최적 시상수 200일 (격자 상한) — 신호 없음
B. 알칼리도 추적자 R²,0.0567,-,격자 상한 — 신호 없음
B′. NH3-N 추적자 R²,0.0514,-,격자 상한 — 신호 없음
