date,variable,flag,severity,value,detail
2018-11-19,투입량합계,고정값,치명,240.0,35일 연속 동일값 (~2018-12-23)
2019-04-09,투입량합계,고정값,치명,216.0,21일 연속 동일값 (~2019-04-29)
2019-06-28,소화조_온도,고정값,치명,38.0,20일 연속 동일값 (~2019-07-26)
2019-12-31,소화조_MAlk,체제단절,치명,14671.294385964913,분기평균 z=+11.5 (직전4분기 1.361e+04 → 1.467e+04)
2020-01-18,투입량합계,고정값,치명,192.0,48일 연속 동일값 (~2020-03-05)
2020-03-10,투입량합계,고정값,치명,144.0,20일 연속 동일값 (~2020-03-29)
2020-10-24,투입량합계,고정값,치명,168.0,26일 연속 동일값 (~2020-11-18)
2021-04-09,투입량합계,고정값,치명,184.0,22일 연속 동일값 (~2021-04-30)
2021-06-30,소화조_TS,체제단절,치명,2.718611111111111,분기평균 z=+9.8 (직전4분기 2.548 → 2.719)
2021-06-30,소화조_VS,체제단절,치명,1.1560185185185186,분기평균 z=+8.1 (직전4분기 1.045 → 1.156)
2021-07-02,소화조_온도,고정값,치명,38.0,21일 연속 동일값 (~2021-08-03)
2021-08-25,투입량합계,고정값,치명,192.0,42일 연속 동일값 (~2021-10-05)
2021-12-31,소화조_MAlk,체제단절,치명,14597.849636363637,분기평균 z=-7.1 (직전4분기 1.565e+04 → 1.46e+04)
2022-01-19,소화조_온도,고정값,치명,38.0,28일 연속 동일값 (~2022-03-04)
2022-02-17,투입량합계,고정값,치명,180.0,20일 연속 동일값 (~2022-03-08)
2022-04-18,소화조_온도,고정값,치명,38.0,30일 연속 동일값 (~2022-06-03)
2022-04-25,투입량합계,고정값,치명,180.0,21일 연속 동일값 (~2022-05-15)
2022-05-21,투입량합계,고정값,치명,180.0,21일 연속 동일값 (~2022-06-10)
2022-09-19,투입량합계,고정값,치명,192.0,34일 연속 동일값 (~2022-10-22)
2022-09-30,소화조_온도,체제단절,치명,39.55877192982456,분기평균 z=+6.9 (직전4분기 38.15 → 39.56)
2022-12-31,소화조_온도,체제단절,치명,34.05104166666667,분기평균 z=-5.8 (직전4분기 38.42 → 34.05)
2023-03-28,투입량합계,고정값,치명,168.0,33일 연속 동일값 (~2023-04-29)
2023-03-31,소화조_TAlk,체제단절,치명,10694.107843137255,분기평균 z=-7.7 (직전4분기 1.842e+04 → 1.069e+04)
2023-03-31,소화조_MAlk,체제단절,치명,8453.37568627451,분기평균 z=-7.9 (직전4분기 1.642e+04 → 8453)
2023-06-07,소화조_TAlk,VFA==TAlk,치명,1191.0,두 열 값이 동일 — 열 복사 의심
2023-06-08,소화조_TAlk,VFA==TAlk,치명,1304.5,두 열 값이 동일 — 열 복사 의심
2023-06-09,소화조_TAlk,VFA==TAlk,치명,1290.5,두 열 값이 동일 — 열 복사 의심
2023-06-13,소화조_TAlk,VFA==TAlk,치명,1409.0,두 열 값이 동일 — 열 복사 의심
2023-06-14,소화조_TAlk,VFA==TAlk,치명,1326.5,두 열 값이 동일 — 열 복사 의심
