target,variant,h,R2,persistence
biogas,유량pool (기준),1,0.9270309887526254,0.9224692524895667
biogas,유량pool (기준),3,0.7580396036853257,0.7342110076983102
biogas,유량pool (기준),7,0.4849667009739812,0.4440430686633231
biogas,유량pool (기준),14,-0.0022381142332630333,0.1149525032479829
biogas,유량pool+VSin 윈저,1,0.8031511445036749,0.9224692524895667
biogas,유량pool+VSin 윈저,3,0.20598235668923925,0.7342110076983102
biogas,유량pool+VSin 윈저,7,-0.862712392349996,0.4440430686633231
biogas,유량pool+VSin 윈저,14,-1.9580594478120639,0.1149525032479829
biogas,유량pool+VSin 로그,1,0.8090912926728354,0.9224692524895667
biogas,유량pool+VSin 로그,3,0.22131061109727335,0.7342110076983102
biogas,유량pool+VSin 로그,7,-0.8675968552526638,0.4440430686633231
biogas,유량pool+VSin 로그,14,-1.9845617757725615,0.1149525032479829
biogas,유량pool+부하slow 로그,1,0.9253571987499108,0.9224692524895667
biogas,유량pool+부하slow 로그,3,0.720312007189855,0.7342110076983102
biogas,유량pool+부하slow 로그,7,0.24098447181689975,0.4440430686633231
biogas,유량pool+부하slow 로그,14,-0.8243378661961358,0.1149525032479829
biogas,유량pool+부하pool 로그,1,0.9234316608691339,0.9224692524895667
biogas,유량pool+부하pool 로그,3,0.709826851117927,0.7342110076983102
biogas,유량pool+부하pool 로그,7,0.20965363986361174,0.4440430686633231
biogas,유량pool+부하pool 로그,14,-0.8868296687900687,0.1149525032479829
biogas,부하pool 로그 단독,1,0.9096977621721352,0.9224692524895667
biogas,부하pool 로그 단독,3,0.6070115416787354,0.7342110076983102
biogas,부하pool 로그 단독,7,-0.10272831362605439,0.4440430686633231
biogas,부하pool 로그 단독,14,-1.4648107963656578,0.1149525032479829
biogas,유량pool 로그,1,0.9243608098495353,0.9224692524895667
biogas,유량pool 로그,3,0.7539046775584892,0.7342110076983102
biogas,유량pool 로그,7,0.45566987091767774,0.4440430686633231
biogas,유량pool 로그,14,-0.06436095599837177,0.1149525032479829
methane,유량pool (기준),1,0.9068975471250221,0.8988987309704498
methane,유량pool (기준),3,0.7571209969886004,0.6956639279301453
methane,유량pool (기준),7,0.4884543074972424,0.44987005941441705
methane,유량pool (기준),14,-0.09440096722734359,0.07671495465539546
methane,유량pool+VSin 윈저,1,0.5482442666423222,0.8988987309704498
methane,유량pool+VSin 윈저,3,-0.014330401257073078,0.6956639279301453
methane,유량pool+VSin 윈저,7,-1.1748916995252365,0.44987005941441705
methane,유량pool+VSin 윈저,14,-3.3572069954641917,0.07671495465539546
methane,유량pool+VSin 로그,1,0.5014002205083992,0.8988987309704498
methane,유량pool+VSin 로그,3,-0.12106315287190617,0.6956639279301453
methane,유량pool+VSin 로그,7,-1.5531023091079832,0.44987005941441705
methane,유량pool+VSin 로그,14,-4.279514439254724,0.07671495465539546
methane,유량pool+부하slow 로그,1,0.9093591550113269,0.8988987309704498
methane,유량pool+부하slow 로그,3,0.6796118233962192,0.6956639279301453
methane,유량pool+부하slow 로그,7,0.24766487695417316,0.44987005941441705
methane,유량pool+부하slow 로그,14,-0.9271469857162817,0.07671495465539546
methane,유량pool+부하pool 로그,1,0.9098287985859846,0.8988987309704498
methane,유량pool+부하pool 로그,3,0.7249331025970405,0.6956639279301453
methane,유량pool+부하pool 로그,7,0.3915209699912514,0.44987005941441705
methane,유량pool+부하pool 로그,14,-0.5062739255538331,0.07671495465539546
methane,부하pool 로그 단독,1,0.8727209460767631,0.8988987309704498
methane,부하pool 로그 단독,3,0.5247134541528145,0.6956639279301453
methane,부하pool 로그 단독,7,-0.18848654296090528,0.44987005941441705
methane,부하pool 로그 단독,14,-1.9069571888534083,0.07671495465539546
methane,유량pool 로그,1,0.9042517048250595,0.8988987309704498
methane,유량pool 로그,3,0.7604021911279797,0.6956639279301453
methane,유량pool 로그,7,0.4711942852665958,0.44987005941441705
methane,유량pool 로그,14,-0.16004473402753128,0.07671495465539546
